team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Ghana,Ibrahim Kassum,1,0.0,0.0,41.0,0.0,0.0,1976-10-10
Switzerland,Serge Trinchero,1,0.0,0.0,45.1,0.0,0.0,1976-10-09
Italy,Pietro Anastasi,3,0.0,0.0,41.7,0.0,0.0,1974-06-15
Ivory Coast,Lucien Kouassi Kouame,1,0.0,0.0,46.1,0.0,0.0,1976-09-26
Austria,Helmut Köglberger,2,0.0,0.0,41.4,0.0,0.0,1975-03-16
Finland,Ari Mäkynen,1,0.0,0.0,38.2,0.0,0.0,1976-09-22
Luxembourg,Gilbert Zender,1,0.0,0.0,34.0,0.0,0.0,1976-09-22
Finland,Teppo Heikkinen,1,0.0,0.0,38.2,0.0,0.0,1976-09-22
Hungary,Antal Dunai,5,0.0,0.0,38.7,0.0,0.0,1972-10-15
Ecuador,Washington Muñoz,5,0.0,0.0,44.1,0.0,0.0,1973-06-28
Ivory Coast,Gaston Bawa,1,0.0,0.0,46.1,0.0,0.0,1976-09-04
Switzerland,Rolf Blättler,6,0.0,0.0,45.1,0.0,0.0,1973-09-26
Hungary,László Branikovits,2,0.0,0.0,38.7,0.0,0.0,1975-04-16
Italy,Luigi Riva,7,0.0,0.0,41.7,0.0,0.0,1969-11-22
Bulgaria,Georgi Asparuhov,14,0.0,0.0,35.6,0.0,0.0,1969-06-15
Netherlands,Barry Hulshoff,3,0.0,0.0,45.5,0.0,0.0,1973-09-12
Spain,Roberto Juan Martínez,2,0.0,0.0,47.3,0.0,0.0,1974-09-25
Wales,Gil Reece,2,0.0,0.0,37.5,0.0,0.0,1975-05-01
Tunisia,Ezzedine Chakroun,4,0.0,0.0,52.8,0.0,0.0,1972-12-17
Sweden,Björn Andersson,1,0.0,0.0,43.6,0.0,0.0,1976-06-16
China,He Jia,1,0.0,0.0,32.8,0.0,0.0,1976-06-13
England,Stuart Pearson,1,0.0,0.0,47.5,0.0,0.0,1976-06-13
Kuwait,Faruq Ibrahim,1,0.0,0.0,39.8,0.0,0.0,1976-06-11
Iraq,Falah Hassan,1,0.0,0.0,51.5,0.0,0.0,1976-06-11
Iraq,Sabah Abdul-Jalil,1,0.0,0.0,51.5,0.0,0.0,1976-06-11
Iraq,Kadhim Waal,1,0.0,0.0,51.5,0.0,0.0,1976-06-06
China,Wang Jilian,1,0.0,0.0,32.8,0.0,0.0,1976-06-05
Malaysia,Mokhtar Dahari,1,0.0,0.0,36.9,0.0,0.0,1976-06-05
Trinidad and Tobago,Warren Archibald,5,0.0,0.0,43.4,0.0,0.0,1973-12-14
Denmark,Ole Rasmussen,1,0.0,0.0,41.0,0.0,0.0,1976-05-23
Denmark,Niels Tune-Hansen,1,0.0,0.0,41.0,0.0,0.0,1976-05-23
El Salvador,Juan Ramón Martínez,7,0.0,0.0,44.1,0.0,0.0,1969-10-08
Wales,Ian Evans,1,0.0,0.0,37.5,0.0,0.0,1976-05-22
Germany,Klaus Toppmöller,1,0.0,0.0,46.1,0.0,0.0,1976-05-22
Zambia,Freddie Mwila,3,0.0,0.0,37.2,0.0,0.0,1972-06-04
Switzerland,René-Pierre Quentin,9,0.0,0.0,45.1,0.0,0.0,1971-04-21
Germany,Herbert Wimmer,2,0.0,0.0,46.1,0.0,0.0,1974-11-20
Ethiopia,Mengistu Worku,11,0.0,0.0,27.0,0.0,0.0,1970-02-10
Thailand,Prapon Tantariyanond,3,0.0,0.0,45.2,0.0,0.0,1972-05-17
Cambodia,Doeur Sokhom,3,0.0,0.0,26.2,0.0,0.0,1972-05-16
Netherlands,Wim Rijsbergen,1,0.0,0.0,45.5,0.0,0.0,1976-04-25
Spain,Amancio Amaro,9,0.0,0.0,47.3,0.0,0.0,1972-10-19
Austria,Josef Hickersberger,3,0.0,0.0,41.4,0.0,0.0,1972-04-30
Romania,Dumitru Marcu,2,0.0,0.0,38.6,0.0,0.0,1973-10-14
Romania,Mircea Sandu,2,0.0,0.0,38.6,0.0,0.0,1973-10-14
Italy,Pierino Prati,5,0.0,0.0,41.7,0.0,0.0,1971-11-20
Poland,Jan Domarski,2,0.0,0.0,40.6,0.0,0.0,1973-10-17
Algeria,Omar Betrouni,1,0.0,0.0,53.4,0.0,0.0,1976-04-01
Netherlands,Theo de Jong,2,0.0,0.0,45.5,0.0,0.0,1974-06-23
Scotland,Peter Lorimer,2,0.0,0.0,41.1,0.0,0.0,1974-06-14
Burkina Faso,Joseph Ouattara,1,0.0,0.0,44.7,0.0,0.0,1976-03-28
Burkina Faso,Kouligo Zoma,1,0.0,0.0,44.7,0.0,0.0,1976-03-28
Sierra Leone,William Sango,1,0.0,0.0,24.8,0.0,0.0,1976-03-21
Niger,Sanda Seydou,1,0.0,0.0,30.9,0.0,0.0,1976-03-21
Germany,Uwe Seeler,14,0.0,0.0,46.1,0.0,0.0,1970-06-14
Paraguay,Adalberto Escobar,2,0.0,0.0,39.1,0.0,0.0,1973-10-07
Northern Ireland,Jimmy Nicholson,5,0.0,0.0,35.2,0.0,0.0,1971-10-13
Paraguay,Jorge Insfran,2,0.0,0.0,39.1,0.0,0.0,1973-09-30
Morocco,Ahmed Makrouh,1,0.0,0.0,57.3,0.0,0.0,1976-03-14
Mauritania,Gagny Coulibaly,1,0.0,0.0,35.9,0.0,0.0,1976-03-13
Egypt,Mohamed El-Seyagui,1,0.0,0.0,51.2,0.0,0.0,1976-03-11
Morocco,Redouane Guezzar,1,0.0,0.0,57.3,0.0,0.0,1976-03-11
Ecuador,Félix Lasso,2,0.0,0.0,44.1,0.0,0.0,1975-07-24
Egypt,Ahmed Abou Rehab,1,0.0,0.0,51.2,0.0,0.0,1976-03-09
Sierra Leone,Samuel Tray,1,0.0,0.0,24.8,0.0,0.0,1976-03-07
Niger,Boukari Adamou,1,0.0,0.0,30.9,0.0,0.0,1976-03-07
Morocco,Abdellah Tazi,1,0.0,0.0,57.3,0.0,0.0,1976-03-06
Morocco,Larbi Chebbak,1,0.0,0.0,57.3,0.0,0.0,1976-03-06
Uganda,Jimmy Muguwa,1,0.0,0.0,34.8,0.0,0.0,1976-03-05
Ethiopia,Mohamed Ali,1,0.0,0.0,27.0,0.0,0.0,1976-03-05
Morocco,Ahmed Abouali,1,0.0,0.0,57.3,0.0,0.0,1976-03-01
DR Congo,Kabasu Babo,1,0.0,0.0,44.0,0.0,0.0,1976-03-01
Germany,Berti Vogts,1,0.0,0.0,46.1,0.0,0.0,1976-02-28
Greece,Giorgos Sideris,10,0.0,0.0,36.4,0.0,0.0,1969-10-15
England,Allan Clarke,3,0.0,0.0,47.5,0.0,0.0,1973-10-17
Togo,Edmond Apéti Kaolo,3,0.0,0.0,27.6,0.0,0.0,1972-02-28
Romania,Ion Dumitru,2,0.0,0.0,38.6,0.0,0.0,1973-10-14
Australia,Branko Buljevic,2,0.0,0.0,41.1,0.0,0.0,1973-11-10
Russia,Anatoliy Banishevskiy,6,0.0,0.0,31.3,0.0,0.0,1972-05-13
Spain,Manuel Velázquez,2,0.0,0.0,47.3,0.0,0.0,1975-04-17
Bulgaria,Yordan Yordanov,1,0.0,0.0,35.6,0.0,0.0,1975-12-21
Russia,Vladimir Fedotov,3,0.0,0.0,31.3,0.0,0.0,1972-10-18
Bulgaria,Petar Zhekov,6,0.0,0.0,35.6,0.0,0.0,1971-12-04
Hong Kong,Yuen Kuen-Chu,2,0.0,0.0,34.3,0.0,0.0,1973-05-26
Hungary,Sándor Zámbó,2,0.0,0.0,38.7,0.0,0.0,1973-06-13
Ecuador,Polo Carrera,2,0.0,0.0,44.1,0.0,0.0,1975-07-27
Israel,Zvi Rozen,2,0.0,0.0,32.0,0.0,0.0,1973-05-21
Israel,Itzhak Shum,2,0.0,0.0,32.0,0.0,0.0,1973-05-21
Japan,Kunishige Kamamoto,2,0.0,0.0,46.4,0.0,0.0,1973-05-20
Russia,Volodymyr Onyshchenko,2,0.0,0.0,31.3,0.0,0.0,1973-05-26
Wales,Mike England,3,0.0,0.0,37.5,0.0,0.0,1974-11-20
Mexico,Roberto Rodríguez,3,0.0,0.0,63.7,0.0,0.0,1971-12-02
North Korea,Ma Jung-U,2,0.0,0.0,17.6,0.0,0.0,1973-05-13
Russia,Vladimir Veremeyev,1,0.0,0.0,31.3,0.0,0.0,1975-11-12
England,Martin Peters,7,0.0,0.0,47.5,0.0,0.0,1971-02-03
Belgium,Léon Dolmans,2,0.0,0.0,44.8,0.0,0.0,1973-10-31
Scotland,Ted MacDougall,1,0.0,0.0,41.1,0.0,0.0,1975-10-29
Congo,Noël Birindi Minga,2,0.0,0.0,18.2,0.0,0.0,1974-03-05
Congo,Paul Moukila,2,0.0,0.0,18.2,0.0,0.0,1974-03-03
Hungary,Tibor Wollek,1,0.0,0.0,38.7,0.0,0.0,1975-10-19
Romania,Alexandru Neagu,3,0.0,0.0,38.6,0.0,0.0,1972-05-17
France,Charly Loubet,5,0.0,0.0,47.7,0.0,0.0,1971-11-10
Italy,Angelo Domenghini,7,0.0,0.0,41.7,0.0,0.0,1970-06-03
Hungary,János Farkas,10,0.0,0.0,38.7,0.0,0.0,1969-06-15
Spain,José Luis Capón,1,0.0,0.0,47.3,0.0,0.0,1975-10-12
Curaçao,Adelbert Toppenberg,3,0.0,0.0,33.6,0.0,0.0,1973-12-05
Sudan,Omar Ali Hasab El-Rasoul,4,0.0,0.0,35.2,0.0,0.0,1972-02-25
Colombia,Edgar Angulo,1,0.0,0.0,45.0,0.0,0.0,1975-09-21
Iraq,Ali Kadhim,2,0.0,0.0,51.5,0.0,0.0,1973-03-24
Australia,Ray Richards,2,0.0,0.0,41.1,0.0,0.0,1973-03-24
Iraq,Riyadh Nouri,2,0.0,0.0,51.5,0.0,0.0,1973-03-21
Indonesia,Sarman Panggabean,2,0.0,0.0,41.6,0.0,0.0,1973-03-21
Scotland,Colin Stein,6,0.0,0.0,41.1,0.0,0.0,1969-05-17
Norway,Harry Hestad,2,0.0,0.0,39.1,0.0,0.0,1973-09-12
Australia,Ernie Campbell,2,0.0,0.0,41.1,0.0,0.0,1973-03-13
Netherlands,Harry Lubse,1,0.0,0.0,45.5,0.0,0.0,1975-09-03
Northern Ireland,Allan Hunter,1,0.0,0.0,35.2,0.0,0.0,1975-09-03
England,Francis Lee,3,0.0,0.0,47.5,0.0,0.0,1972-04-29
Ivory Coast,Bernard N'Guessan,2,0.0,0.0,46.1,0.0,0.0,1973-02-25
New Zealand,Malcolm Bland,2,0.0,0.0,32.7,0.0,0.0,1973-02-23
New Caledonia,Jean Hmae,2,0.0,0.0,14.3,0.0,0.0,1973-02-18
Chile,Carlos Reinoso,1,0.0,0.0,40.1,0.0,0.0,1975-08-20
Argentina,Américo Gallego,1,0.0,0.0,46.5,0.0,0.0,1975-08-10
Paraguay,Carlos Báez,1,0.0,0.0,39.1,0.0,0.0,1975-08-10
Argentina,Ramón Bóveda,1,0.0,0.0,46.5,0.0,0.0,1975-08-10
Colombia,Oswaldo Calero,1,0.0,0.0,45.0,0.0,0.0,1975-08-07
Argentina,Julio Asad,1,0.0,0.0,46.5,0.0,0.0,1975-08-06
Venezuela,Ramón Iriarte,1,0.0,0.0,37.3,0.0,0.0,1975-08-03
Brazil,Romeu Evangelista,1,0.0,0.0,45.1,0.0,0.0,1975-07-31
Colombia,Eduardo Retat,1,0.0,0.0,45.0,0.0,0.0,1975-07-27
Spain,Rubén Óscar Valdez,2,0.0,0.0,47.3,0.0,0.0,1973-01-17
Tunisia,Mohieddine Habita,2,0.0,0.0,52.8,0.0,0.0,1973-02-11
Bulgaria,Dinko Dermendzhiev,6,0.0,0.0,35.6,0.0,0.0,1970-06-02
France,Hervé Revelli,5,0.0,0.0,47.7,0.0,0.0,1971-04-24
Scotland,Billy Bremner,2,0.0,0.0,41.1,0.0,0.0,1974-11-20
Norway,Erik Just Olsen,1,0.0,0.0,39.1,0.0,0.0,1975-06-30
Scotland,John O'Hare,3,0.0,0.0,41.1,0.0,0.0,1971-11-10
Ivory Coast,Noël Kouamé,2,0.0,0.0,46.1,0.0,0.0,1973-02-11
Kenya,Peter Ouma,2,0.0,0.0,30.5,0.0,0.0,1973-08-19
Turkey,Osman Arpacıoğlu,2,0.0,0.0,43.9,0.0,0.0,1972-12-10
Bulgaria,Kiril Milanov,1,0.0,0.0,35.6,0.0,0.0,1975-06-11
Bulgaria,Borislav Dimitrov,1,0.0,0.0,35.6,0.0,0.0,1975-06-11
Norway,Stein Thunberg,1,0.0,0.0,39.1,0.0,0.0,1975-06-09
Portugal,Mário Moínhos,1,0.0,0.0,47.0,0.0,0.0,1975-06-08
Iceland,Jóhannes Eðvaldsson,1,0.0,0.0,42.1,0.0,0.0,1975-06-05
England,Bobby Charlton,14,0.0,0.0,47.5,0.0,0.0,1968-06-08
Greece,Kostas Iosifidis,1,0.0,0.0,36.4,0.0,0.0,1975-06-04
Chile,Francisco Valdés,3,0.0,0.0,40.1,0.0,0.0,1973-08-05
Switzerland,Rudi Elsener,1,0.0,0.0,45.1,0.0,0.0,1975-05-21
Republic of Ireland,Eoin Hand,1,0.0,0.0,37.6,0.0,0.0,1975-05-18
Nigeria,Yakubu Mambo,2,0.0,0.0,48.4,0.0,0.0,1973-02-10
Nigeria,Kenneth Olayombo,2,0.0,0.0,48.4,0.0,0.0,1973-02-10
Denmark,Peter Dahl,1,0.0,0.0,41.0,0.0,0.0,1975-05-11
Romania,Cornel Dinu,1,0.0,0.0,38.6,0.0,0.0,1975-05-11
Israel,Giora Spiegel,6,0.0,0.0,32.0,0.0,0.0,1969-10-01
Republic of Ireland,Terry Conroy,2,0.0,0.0,37.6,0.0,0.0,1972-11-15
Turkey,Alpaslan Eratlı,1,0.0,0.0,43.9,0.0,0.0,1975-04-30
Germany,Manfred Ritschel,1,0.0,0.0,46.1,0.0,0.0,1975-04-27
Ivory Coast,Mama Ouattara,2,0.0,0.0,46.1,0.0,0.0,1972-10-29
DR Congo,Kidumu Mantantu,3,0.0,0.0,44.0,0.0,0.0,1974-03-09
Haiti,Jean-Claude Désir,3,0.0,0.0,35.3,0.0,0.0,1973-12-01
Wales,John Mahoney,1,0.0,0.0,37.5,0.0,0.0,1975-04-16
Argentina,Luis Artime,11,0.0,0.0,46.5,0.0,0.0,1967-01-28
Russia,Gennady Yevryuzhikhin,3,0.0,0.0,31.3,0.0,0.0,1971-06-07
Italy,Giancarlo De Sisti,3,0.0,0.0,41.7,0.0,0.0,1971-11-20
Norway,Ola Dybwad-Olsen,4,0.0,0.0,39.1,0.0,0.0,1971-09-08
Hungary,Csaba Vidáts,2,0.0,0.0,38.7,0.0,0.0,1973-06-13
France,Georges Lech,5,0.0,0.0,47.7,0.0,0.0,1971-11-10
Poland,Andrzej Jarosik,5,0.0,0.0,40.6,0.0,0.0,1969-11-09
Malta,Vincent Magro,1,0.0,0.0,33.3,0.0,0.0,1975-02-23
Malta,Richard Aquilina,1,0.0,0.0,33.3,0.0,0.0,1975-02-23
Austria,Erich Hof,10,0.0,0.0,41.4,0.0,0.0,1968-05-19
Spain,Alfredo Megido,1,0.0,0.0,47.3,0.0,0.0,1975-02-05
Germany,Helmut Haller,9,0.0,0.0,46.1,0.0,0.0,1969-05-21
Ghana,Abukari Gariba,2,0.0,0.0,41.0,0.0,0.0,1972-06-18
Greece,Stavros Sarafis,1,0.0,0.0,36.4,0.0,0.0,1974-12-18
Bulgaria,Atanas Mihaylov,2,0.0,0.0,35.6,0.0,0.0,1972-11-19
Costa Rica,Víctor Ruiz,4,0.0,0.0,49.0,0.0,0.0,1969-12-04
Switzerland,Hans-Peter Schild,1,0.0,0.0,45.1,0.0,0.0,1974-12-01
Turkey,Mehmet Oğuz,1,0.0,0.0,43.9,0.0,0.0,1974-12-01
Turkey,İsmail Arca,1,0.0,0.0,43.9,0.0,0.0,1974-12-01
Morocco,Houmane Jarir,4,0.0,0.0,57.3,0.0,0.0,1970-06-03
Wales,Phil Roberts,1,0.0,0.0,37.5,0.0,0.0,1974-11-20
Wales,Terry Yorath,1,0.0,0.0,37.5,0.0,0.0,1974-11-20
Cambodia,Tol Kimchi,2,0.0,0.0,26.2,0.0,0.0,1972-05-19
Thailand,Ich Narding,2,0.0,0.0,45.2,0.0,0.0,1972-05-19
France,Jean Gallice,1,0.0,0.0,47.7,0.0,0.0,1974-11-16
Hungary,István Szőke,2,0.0,0.0,38.7,0.0,0.0,1972-05-17
Guatemala,Jorge Roldán,4,0.0,0.0,43.3,0.0,0.0,1973-12-05
Iran,Safar Iranpak,2,0.0,0.0,42.0,0.0,0.0,1972-05-16
Australia,Tom McColl,4,0.0,0.0,41.1,0.0,0.0,1969-11-23
Peru,Alberto Gallardo,7,0.0,0.0,40.0,0.0,0.0,1970-06-14
Greece,Lakis Glezos,1,0.0,0.0,36.4,0.0,0.0,1974-10-13
Hungary,József Horváth,1,0.0,0.0,38.7,0.0,0.0,1974-10-13
Iceland,Matthías Hallgrímsson,1,0.0,0.0,42.1,0.0,0.0,1974-10-12
France,Christian Coste,1,0.0,0.0,47.7,0.0,0.0,1974-10-12
Poland,Henryk Kasperczak,1,0.0,0.0,40.6,0.0,0.0,1974-10-09
Nigeria,Garba Okoye,4,0.0,0.0,48.4,0.0,0.0,1969-11-08
Uruguay,Pedro Rocha,9,0.0,0.0,43.2,0.0,0.0,1969-08-10
Belgium,Jacques Teugels,1,0.0,0.0,44.8,0.0,0.0,1974-09-08
Denmark,Finn Laudrup,2,0.0,0.0,41.0,0.0,0.0,1972-10-18
Northern Ireland,Tommy Finney,1,0.0,0.0,35.2,0.0,0.0,1974-09-04
Northern Ireland,Derek Dougan,4,0.0,0.0,35.2,0.0,0.0,1971-04-21
Cameroon,Jean-Baptiste N'Doga,2,0.0,0.0,40.1,0.0,0.0,1972-03-04
Mali,Bako Touré,2,0.0,0.0,36.8,0.0,0.0,1972-03-02
Scotland,Alan Gilzean,5,0.0,0.0,41.1,0.0,0.0,1969-10-22
Spain,José Francisco Rojo,2,0.0,0.0,47.3,0.0,0.0,1972-02-16
Sweden,Tom Turesson,4,0.0,0.0,43.6,0.0,0.0,1970-10-28
Netherlands,Rinus Israël,3,0.0,0.0,45.5,0.0,0.0,1971-11-17
Brazil,Valdomiro Vaz Franco,1,0.0,0.0,45.1,0.0,0.0,1974-06-22
Uruguay,Ricardo Pavoni,1,0.0,0.0,43.2,0.0,0.0,1974-06-19
Poland,Jerzy Gorgoń,1,0.0,0.0,40.6,0.0,0.0,1974-06-19
Argentina,Ramón Heredia,1,0.0,0.0,46.5,0.0,0.0,1974-06-15
Argentina,Carlos Babington,1,0.0,0.0,46.5,0.0,0.0,1974-06-15
Mexico,Manuel Lapuente,2,0.0,0.0,63.7,0.0,0.0,1973-12-08
Germany,Günter Netzer,2,0.0,0.0,46.1,0.0,0.0,1972-04-29
Trinidad and Tobago,Wilfred Cave,2,0.0,0.0,43.4,0.0,0.0,1971-11-30
Trinidad and Tobago,Anthony Douglas,2,0.0,0.0,43.4,0.0,0.0,1971-12-05
Spain,Quino Sierra,2,0.0,0.0,47.3,0.0,0.0,1971-11-24
Mexico,Enrique Borja,2,0.0,0.0,63.7,0.0,0.0,1973-12-18
Morocco,Maouhoub Ghazouani,2,0.0,0.0,57.3,0.0,0.0,1972-12-03
Austria,Helmut Redl,4,0.0,0.0,41.4,0.0,0.0,1969-11-05
Romania,Radu Nunweiller,2,0.0,0.0,38.6,0.0,0.0,1972-09-20
Honduras,Rigoberto Gómez,3,0.0,0.0,43.8,0.0,0.0,1971-12-04
Romania,Nicolae Lupescu,2,0.0,0.0,38.6,0.0,0.0,1971-11-24
France,Bernard Blanchet,2,0.0,0.0,47.7,0.0,0.0,1971-12-04
Netherlands,Theo Pahlplatz,3,0.0,0.0,45.5,0.0,0.0,1971-11-17
Greece,Mimis Domazos,2,0.0,0.0,36.4,0.0,0.0,1973-01-17
Egypt,Sayed Abdel Razek,2,0.0,0.0,51.2,0.0,0.0,1972-12-08
Greece,Giorgos Koudas,2,0.0,0.0,36.4,0.0,0.0,1973-01-17
Portugal,António Simões,2,0.0,0.0,47.0,0.0,0.0,1973-10-13
Norway,Harald Sunde,2,0.0,0.0,39.1,0.0,0.0,1973-08-02
Congo,André Mbouta,1,0.0,0.0,18.2,0.0,0.0,1974-03-09
Congo,Jacques Ndomba,1,0.0,0.0,18.2,0.0,0.0,1974-03-07
Egypt,Gamal Abdel Azim,1,0.0,0.0,51.2,0.0,0.0,1974-03-04
Congo,Sebastien Lakou,1,0.0,0.0,18.2,0.0,0.0,1974-03-03
Spain,José Eulogio Gárate,4,0.0,0.0,47.3,0.0,0.0,1969-10-15
Denmark,Ole Madsen,14,0.0,0.0,41.0,0.0,0.0,1969-06-15
Ghana,Wilberforce Mfum,6,0.0,0.0,41.0,0.0,0.0,1968-01-19
Hungary,Flórián Albert,11,0.0,0.0,38.7,0.0,0.0,1969-05-25
Russia,Kakhi Asatiani,3,0.0,0.0,31.3,0.0,0.0,1970-06-06
Denmark,Kresten Bjerre,4,0.0,0.0,41.0,0.0,0.0,1971-05-26
Honduras,Jorge Alberto Bran Guevara,1,0.0,0.0,43.8,0.0,0.0,1973-12-15
Guatemala,Juan Banegas,1,0.0,0.0,43.3,0.0,0.0,1973-12-15
Guatemala,Benjamín Monterroso,1,0.0,0.0,43.3,0.0,0.0,1973-12-13
Curaçao,Erroll Maximino St. Jago,1,0.0,0.0,33.6,0.0,0.0,1973-12-12
Honduras,Roberto Soza,1,0.0,0.0,43.8,0.0,0.0,1973-12-12
Curaçao,Rignald Alfonso Clemencia,1,0.0,0.0,33.6,0.0,0.0,1973-12-12
Mexico,Héctor Pulido,1,0.0,0.0,63.7,0.0,0.0,1973-12-08
England,Norman Hunter,2,0.0,0.0,47.5,0.0,0.0,1973-01-24
Curaçao,Siegfried Schoop,1,0.0,0.0,33.6,0.0,0.0,1973-12-05
Guatemala,René Morales,1,0.0,0.0,43.3,0.0,0.0,1973-12-05
Haiti,Roger Saint-Vil,1,0.0,0.0,35.3,0.0,0.0,1973-12-04
Honduras,Óscar Rolando Hernández,1,0.0,0.0,43.8,0.0,0.0,1973-11-29
Morocco,Mohamed Maghfour,1,0.0,0.0,57.3,0.0,0.0,1973-11-25
Turkey,Melih Atacan,1,0.0,0.0,43.9,0.0,0.0,1973-11-18
Turkey,Mehmet Türkkan,1,0.0,0.0,43.9,0.0,0.0,1973-11-18
Northern Ireland,Liam O'Kane,1,0.0,0.0,35.2,0.0,0.0,1973-11-14
Albania,Mihal Gjika,1,0.0,0.0,37.6,0.0,0.0,1973-11-13
Malta,Anton Camilleri,1,0.0,0.0,33.3,0.0,0.0,1973-11-11
Portugal,Vítor Baptista,2,0.0,0.0,47.0,0.0,0.0,1971-05-12
South Korea,Ko Jae-wook,1,0.0,0.0,47.9,0.0,0.0,1973-11-10
Costa Rica,Leonel Hernández,9,0.0,0.0,49.0,0.0,0.0,1968-11-27
Romania,Nicolae Pantea,1,0.0,0.0,38.6,0.0,0.0,1973-10-14
Portugal,Alfredo Quaresma,1,0.0,0.0,47.0,0.0,0.0,1973-10-13
Albania,Ramazan Rragami,1,0.0,0.0,37.6,0.0,0.0,1973-10-10
Argentina,Carlos Guerini,1,0.0,0.0,46.5,0.0,0.0,1973-10-07
Paraguay,Pedro Alcides Bareiro,1,0.0,0.0,39.1,0.0,0.0,1973-09-30
Scotland,Jim Holton,1,0.0,0.0,41.1,0.0,0.0,1973-09-26
Argentina,Oscar Fornari,1,0.0,0.0,46.5,0.0,0.0,1973-09-23
Sudan,Nasr Eddin Abbas,6,0.0,0.0,35.2,0.0,0.0,1970-02-10
Bolivia,Raúl Morales,1,0.0,0.0,40.6,0.0,0.0,1973-09-02
Iceland,Elmar Geirsson,1,0.0,0.0,42.1,0.0,0.0,1973-08-29
Netherlands,Dick Schneider,1,0.0,0.0,45.5,0.0,0.0,1973-08-29
Sudan,Ahmed Bushara Wahba,2,0.0,0.0,35.2,0.0,0.0,1972-02-29
Mexico,Javier Fragoso,7,0.0,0.0,63.7,0.0,0.0,1970-06-07
Russia,Vitaliy Shevchenko,2,0.0,0.0,31.3,0.0,0.0,1971-05-30
Spain,Carles Rexach,2,0.0,0.0,47.3,0.0,0.0,1971-05-30
DR Congo,Mavuba Mafuila,1,0.0,0.0,44.0,0.0,0.0,1973-08-19
Ghana,Joseph Sam,1,0.0,0.0,41.0,0.0,0.0,1973-08-19
Australia,Peter Wilson,1,0.0,0.0,41.1,0.0,0.0,1973-08-18
Greece,Vasilis Botinos,3,0.0,0.0,36.4,0.0,0.0,1969-10-15
France,Fleury Di Nallo,5,0.0,0.0,47.7,0.0,0.0,1968-04-24
Russia,Eduard Malofeyev,6,0.0,0.0,31.3,0.0,0.0,1967-10-31
Mexico,Ernesto Cisneros,10,0.0,0.0,63.7,0.0,0.0,1965-05-16
Russia,Igor Chislenko,8,0.0,0.0,31.3,0.0,0.0,1967-08-30
Peru,Héctor Bailetti,1,0.0,0.0,40.0,0.0,0.0,1973-08-05
Ghana,Akuetteh Armah,1,0.0,0.0,41.0,0.0,0.0,1973-08-05
Chile,Rogelio Farias,1,0.0,0.0,40.1,0.0,0.0,1973-08-05
Norway,Per Pettersen,1,0.0,0.0,39.1,0.0,0.0,1973-08-02
Chile,Rubén Marcos,7,0.0,0.0,40.1,0.0,0.0,1967-01-26
Wales,Ron Davies,4,0.0,0.0,37.5,0.0,0.0,1971-04-21
Guatemala,Nelson Melgar,3,0.0,0.0,43.3,0.0,0.0,1969-11-29
Germany,Franz Beckenbauer,5,0.0,0.0,46.1,0.0,0.0,1970-06-14
Norway,Olav Nilsen,4,0.0,0.0,39.1,0.0,0.0,1970-11-11
Ecuador,Ítalo Estupiñán,1,0.0,0.0,44.1,0.0,0.0,1973-07-01
Haiti,Joseph Obas,4,0.0,0.0,35.3,0.0,0.0,1969-04-20
Hungary,Lajos Szűcs,2,0.0,0.0,38.7,0.0,0.0,1971-10-27
Hungary,Mihály Kozma,1,0.0,0.0,38.7,0.0,0.0,1973-06-13
Haiti,Guy François,3,0.0,0.0,35.3,0.0,0.0,1969-09-28
Finland,Jarmo Manninen,1,0.0,0.0,38.2,0.0,0.0,1973-06-06
Cameroon,Norbert Owona,2,0.0,0.0,40.1,0.0,0.0,1972-03-04
South Korea,Park Yi-Chun,1,0.0,0.0,47.9,0.0,0.0,1973-05-26
Malaysia,Shaharuddin Abdullah,1,0.0,0.0,36.9,0.0,0.0,1973-05-23
Malaysia,Harun Jusoh,1,0.0,0.0,36.9,0.0,0.0,1973-05-23
Israel,George Borba,1,0.0,0.0,32.0,0.0,0.0,1973-05-21
Japan,Koji Mori,1,0.0,0.0,46.4,0.0,0.0,1973-05-20
Denmark,Ole Sørensen,3,0.0,0.0,41.0,0.0,0.0,1969-06-15
Israel,Zvi Farkash,1,0.0,0.0,32.0,0.0,0.0,1973-05-19
France,Serge Chiesa,1,0.0,0.0,47.7,0.0,0.0,1973-05-19
Poland,Bronisław Bula,2,0.0,0.0,40.6,0.0,0.0,1971-09-22
Hong Kong,Lo Hung-Hoi,1,0.0,0.0,34.3,0.0,0.0,1973-05-17
Japan,Shusaku Hirasawa,1,0.0,0.0,46.4,0.0,0.0,1973-05-16
Syria,Abdulghani Tatiche,1,0.0,0.0,38.4,0.0,0.0,1973-05-15
Iran,Homayoun Behzadi,4,0.0,0.0,42.0,0.0,0.0,1968-05-19
North Korea,An Se-Uk,1,0.0,0.0,17.6,0.0,0.0,1973-05-13
Iran,Ali Djabari,1,0.0,0.0,42.0,0.0,0.0,1973-05-13
Iran,Mohammad Sadeghi,1,0.0,0.0,42.0,0.0,0.0,1973-05-11
North Korea,Pak Sung-Jin,1,0.0,0.0,17.6,0.0,0.0,1973-05-11
Syria,Samir Said,1,0.0,0.0,38.4,0.0,0.0,1973-05-11
