team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Indonesia,Ramadhan Sananta,4,1.481,0.472,41.6,0.0356,0.0113,2024-03-26
Kosovo,Milot Rashica,7,1.95,0.0,34.0,0.0574,0.0,2023-11-12
El Salvador,David Rugamas,8,1.945,0.0,44.1,0.0441,0.0,2021-06-12
Curaçao,Rangelo Janga,4,1.377,0.565,33.6,0.041,0.0168,2024-06-05
Denmark,Kasper Dolberg,9,1.702,0.233,41.0,0.0415,0.0057,2022-09-25
Northern Ireland,Dion Charles,4,1.295,0.639,35.2,0.0368,0.0182,2024-11-15
El Salvador,Brayan Gil,3,1.932,0.0,44.1,0.0439,0.0,2025-06-10
Turkey,İrfan Kahveci,4,1.927,0.0,43.9,0.0439,0.0,2024-10-14
Poland,Matty Cash,3,1.925,0.0,40.6,0.0474,0.0,2025-09-07
DR Congo,Meschak Elia,3,1.923,0.0,44.0,0.0437,0.0,2025-11-16
Costa Rica,Juan Pablo Vargas,4,1.919,0.0,49.0,0.0392,0.0,2025-09-09
Paraguay,Omar Alderete,3,1.917,0.0,39.1,0.049,0.0,2025-03-20
Saudi Arabia,Musab Al-Juwayr,3,1.917,0.0,59.9,0.032,0.0,2025-06-05
Gibraltar,Liam Walker,5,0.952,0.965,33.2,0.0287,0.0291,2024-11-15
Colombia,Miguel Borja,6,0.818,1.092,45.0,0.0182,0.0243,2024-07-06
Japan,Kōki Ogawa,3,1.905,0.0,46.4,0.041,0.0,2024-11-19
Mexico,Edson Álvarez,4,1.905,0.0,63.7,0.0299,0.0,2025-07-06
New Caledonia,Joseph Athale,3,0.0,1.9,14.3,0.0,0.1328,2024-11-14
Ghana,Mohammed Salisu,3,1.894,0.0,41.0,0.0462,0.0,2025-10-08
Venezuela,Eduard Bello,4,1.891,0.0,37.3,0.0507,0.0,2024-06-30
Kyrgyzstan,Alimardon Shukurov,5,1.886,0.0,28.1,0.0671,0.0,2025-03-25
Guadeloupe,Matthias Phaëton,4,1.884,0.0,18.8,0.1004,0.0,2025-06-24
Ukraine,Heorhiy Sudakov,3,1.883,0.0,39.0,0.0483,0.0,2025-09-09
Equatorial Guinea,Pablo Ganet,4,1.879,0.0,33.7,0.0557,0.0,2025-09-04
Norway,Mohamed Elyounoussi,9,1.877,0.0,39.1,0.048,0.0,2023-11-19
Tunisia,Ferjani Sassi,4,1.767,0.108,52.8,0.0334,0.002,2025-10-13
Italy,Domenico Berardi,6,1.601,0.271,41.7,0.0384,0.0065,2023-10-14
England,Jack Grealish,4,1.87,0.0,47.5,0.0393,0.0,2024-10-13
Kyrgyzstan,Gulzhigit Alykulov,5,1.869,0.0,28.1,0.0665,0.0,2025-06-05
Thailand,Supachok Sarachat,5,1.869,0.0,45.2,0.0414,0.0,2024-06-06
Ivory Coast,Ibrahim Sangaré,4,1.048,0.821,46.1,0.0227,0.0178,2025-10-10
Solomon Islands,Raphael Lea'i,5,1.867,0.0,21.6,0.0864,0.0,2024-11-14
Senegal,Ibrahim Mbaye,2,1.867,0.0,51.4,0.0363,0.0,2026-06-16
Bolivia,Moisés Paniagua,2,1.867,0.0,40.6,0.0459,0.0,2026-03-31
Ivory Coast,Jean-Philippe Krasso,3,1.38,0.485,46.1,0.0299,0.0105,2025-12-31
Mexico,Luis Romo,3,1.862,0.0,63.7,0.0292,0.0,2026-06-18
Angola,Zini,4,1.861,0.0,37.0,0.0503,0.0,2025-09-09
Panama,César Yanis,4,1.856,0.0,56.7,0.0328,0.0,2025-06-10
Denmark,Robert Skov,7,1.855,0.0,41.0,0.0453,0.0,2023-10-14
Spain,Pablo Sarabia,7,1.575,0.277,47.3,0.0333,0.0059,2022-06-12
Canada,Alphonso Davies,9,1.617,0.234,46.0,0.0351,0.0051,2022-11-27
Bahrain,Mahdi Abduljabbar,3,1.85,0.0,46.7,0.0397,0.0,2024-11-19
Turkey,Serdar Dursun,6,1.524,0.325,43.9,0.0347,0.0074,2022-06-11
Trinidad and Tobago,Levi García,5,1.844,0.0,43.4,0.0425,0.0,2025-06-10
Iceland,Alfreð Finnbogason,10,1.384,0.459,42.1,0.0328,0.0109,2023-10-16
Burundi,Bienvenue Kanakimana,3,1.841,0.0,23.3,0.079,0.0,2025-03-25
Switzerland,Rubén Vargas,2,1.839,0.0,45.1,0.0408,0.0,2026-06-18
Croatia,Petar Musa,2,1.835,0.0,45.5,0.0404,0.0,2026-06-17
Northern Ireland,Daniel Ballard,4,1.834,0.0,35.2,0.0521,0.0,2024-11-15
Cape Verde,Jamiro Monteiro,4,1.83,0.0,38.7,0.0473,0.0,2024-06-08
Georgia,Zuriko Davitashvili,4,1.826,0.0,37.4,0.0488,0.0,2025-09-04
Papua New Guinea,Ati Kepo,4,1.826,0.0,17.0,0.1074,0.0,2024-11-14
Brazil,Rodrygo,4,1.822,0.0,45.1,0.0404,0.0,2024-09-06
Uzbekistan,Otabek Shukurov,5,1.037,0.784,42.5,0.0244,0.0185,2024-10-15
Malta,Teddy Teuma,3,0.0,1.821,33.3,0.0,0.0548,2025-11-17
