fighter,division,elo,rank_elo,overall_rating,style,grappler_index,striker_index,SLpM,str_def,td_per15,td_def,ctrl_sec_per_round,sub_att_per15,finish_rate,gets_finished_rate,head_share,ground_strike_per15,ground_ctrl_share,distance_strike_diff15,finish_threat15,head_absorbed_per15,kd_absorbed_per15,age,stance,n_fights
Juan Espino,Heavyweight,1603.9,1603.9,63.7,grappler,1.0,0.54,3.22,0.4,4.11,0.5,73.1,1.21,0.667,0.0,0.717,9.82,0.244,-0.03,1.07,24.42,0.152,45.7,Orthodox,3
Tyrell Fortune,Heavyweight,1600.8,1600.8,62.2,wrestler,0.767,0.675,4.63,0.573,1.91,1.0,58.6,0.3,0.0,0.0,0.731,7.57,0.203,2.55,0.61,27.85,0.124,30.0,nan,1
Junior Dos Santos,Heavyweight,1589.4,1589.4,57.8,striker,0.27,0.957,4.4,0.562,0.44,0.818,13.9,0.1,0.435,0.304,0.619,4.03,0.046,15.74,0.74,29.12,0.348,42.4,Orthodox,23
Blagoy Ivanov,Heavyweight,1588.0,1588.0,55.7,striker,0.341,0.674,3.45,0.535,0.86,0.615,33.1,0.18,0.0,0.0,0.734,2.44,0.11,-7.4,0.33,35.26,0.089,39.7,Southpaw,8
Marcin Tybura,Heavyweight,1580.8,1580.8,56.7,balanced,0.55,0.683,3.81,0.552,1.35,0.707,73.8,0.15,0.25,0.25,0.658,10.09,0.247,1.23,0.24,31.28,0.288,40.6,Orthodox,24
Karl Williams,Heavyweight,1554.9,1554.9,54.4,wrestler,0.9,0.541,3.4,0.543,2.85,1.0,89.1,0.27,0.0,0.0,0.694,7.62,0.297,-1.87,0.51,27.69,0.133,36.5,Orthodox,4
Ante Delija,Heavyweight,1548.7,1548.7,51.6,striker,0.196,0.857,4.86,0.526,0.94,0.75,31.1,0.22,0.333,0.333,0.798,5.58,0.109,6.71,0.69,36.03,0.346,35.9,Orthodox,3
Mohammed Usman,Heavyweight,1548.1,1548.1,51.2,striker,0.31,0.726,3.85,0.512,0.81,0.667,51.5,0.12,0.167,0.0,0.622,2.83,0.172,-2.63,0.31,35.51,0.107,37.2,Orthodox,6
Rodrigo Nascimento,Heavyweight,1547.4,1547.4,50.4,balanced,0.502,0.587,3.74,0.445,1.1,0.591,56.5,0.33,0.125,0.25,0.689,3.63,0.188,-1.97,0.37,34.49,0.389,33.6,Orthodox,8
Shamil Abdurakhimov,Heavyweight,1546.8,1546.8,47.4,balanced,0.351,0.556,2.8,0.555,1.06,0.455,35.3,0.18,0.182,0.545,0.606,3.48,0.118,4.54,0.41,30.36,0.346,44.8,Orthodox,11
Aleksei Oleinik,Heavyweight,1544.5,1544.5,53.1,grappler,0.902,0.553,3.39,0.443,1.7,0.375,68.1,1.63,0.471,0.294,0.631,3.39,0.227,1.41,1.52,35.23,0.47,49.0,Orthodox,17
Augusto Sakai,Heavyweight,1539.2,1539.2,48.8,striker,0.366,0.808,4.18,0.456,0.57,0.375,45.8,0.09,0.222,0.444,0.608,3.49,0.153,-2.41,0.25,32.45,0.263,35.1,Orthodox,9
Ben Rothwell,Heavyweight,1535.7,1535.7,50.4,balanced,0.453,0.687,3.96,0.447,0.87,0.593,48.4,0.48,0.412,0.176,0.712,4.57,0.161,-12.18,0.71,39.99,0.112,44.7,Orthodox,17
Jamal Pogues,Heavyweight,1535.4,1535.4,48.5,striker,0.388,0.707,3.62,0.471,1.22,0.667,42.1,0.15,0.0,0.0,0.658,3.24,0.14,-5.62,0.26,29.57,0.133,30.6,Orthodox,4
Carlos Felipe,Heavyweight,1530.2,1530.2,47.9,striker,0.158,0.769,4.42,0.506,0.53,0.727,29.4,0.13,0.0,0.0,0.637,3.21,0.098,-6.67,0.23,45.62,0.119,31.4,Orthodox,5
Hamdy Abdelwahab,Heavyweight,1527.2,1527.2,50.9,wrestler,0.814,0.626,4.06,0.514,2.22,1.0,70.1,0.15,0.0,0.0,0.707,15.24,0.234,-9.25,0.38,31.44,0.133,33.4,Southpaw,4
Tanner Boser,Heavyweight,1526.7,1526.7,48.4,striker,0.135,0.887,4.56,0.575,0.32,0.696,28.1,0.08,0.273,0.182,0.525,3.66,0.094,17.64,0.31,27.59,0.156,34.9,Orthodox,11
Tai Tuivasa,Heavyweight,1523.0,1523.0,45.1,striker,0.151,0.884,3.46,0.429,0.22,0.587,34.2,0.05,0.389,0.333,0.6,2.68,0.114,-10.47,0.66,38.85,0.469,33.3,Southpaw,18
Thomas Petersen,Heavyweight,1521.1,1521.1,47.7,wrestler,0.805,0.563,3.38,0.558,2.06,0.857,83.4,0.24,0.0,0.333,0.643,6.8,0.278,0.48,0.43,27.69,0.444,31.2,Southpaw,6
Shamil Gaziev,Heavyweight,1518.6,1518.6,45.9,balanced,0.565,0.605,3.35,0.452,1.14,0.833,81.4,0.12,0.333,0.5,0.683,4.13,0.271,-20.55,0.35,37.6,0.522,36.4,Orthodox,6
Jhonata Diniz,Heavyweight,1517.9,1517.9,44.6,striker,0.141,0.797,3.75,0.584,0.53,0.692,25.0,0.13,0.2,0.4,0.698,3.27,0.084,9.08,0.37,35.78,0.119,35.0,Orthodox,5
Andrei Arlovski,Heavyweight,1516.2,1516.2,46.0,striker,0.257,0.856,3.87,0.568,0.4,0.778,22.7,0.19,0.262,0.262,0.56,1.69,0.076,10.25,0.48,27.41,0.312,47.4,Orthodox,42
Louie Sutherland,Heavyweight,1515.2,1515.2,43.6,wrestler,0.883,0.52,2.98,0.302,2.8,0.0,91.5,0.17,0.0,0.667,0.639,5.7,0.305,1.0,0.3,24.93,0.152,32.4,Orthodox,3
Greg Hardy,Heavyweight,1505.2,1505.2,45.3,striker,0.258,0.848,4.39,0.551,0.48,0.643,26.0,0.08,0.3,0.3,0.606,9.69,0.087,5.61,0.26,25.04,0.189,37.9,Orthodox,10
Stefan Struve,Heavyweight,1494.1,1494.1,44.4,grappler,0.69,0.597,3.22,0.465,0.65,0.558,29.5,1.48,0.458,0.333,0.546,4.19,0.098,-1.36,1.42,29.84,0.597,38.3,Orthodox,24
Maurice Greene,Heavyweight,1486.4,1486.4,41.2,grappler,0.362,0.563,3.47,0.459,0.4,0.273,20.7,0.39,0.375,0.375,0.541,2.2,0.069,3.71,0.67,30.04,0.464,40.0,Orthodox,8
Justin Tafa,Heavyweight,1484.2,1484.2,41.3,striker,0.128,0.921,3.99,0.471,0.34,0.533,25.7,0.08,0.4,0.2,0.6,2.64,0.085,-4.7,0.68,30.28,0.344,32.5,Southpaw,10
Lukasz Brzeski,Heavyweight,1478.6,1478.6,38.1,striker,0.117,0.78,4.39,0.553,0.43,0.316,21.1,0.11,0.0,0.571,0.52,1.99,0.07,12.45,0.19,36.01,0.684,34.1,Orthodox,7
Jake Collier,Heavyweight,1476.8,1476.8,42.8,striker,0.388,0.883,5.37,0.508,0.81,0.676,42.8,0.54,0.143,0.286,0.66,3.34,0.143,10.07,0.75,45.73,0.13,37.7,Orthodox,14
Parker Porter,Heavyweight,1465.4,1465.4,40.6,balanced,0.45,0.761,5.47,0.494,1.25,0.667,56.3,0.27,0.125,0.5,0.7,3.97,0.188,0.98,0.32,47.08,0.66,41.2,Orthodox,8
Raphael Pessoa,Heavyweight,1458.3,1458.3,32.6,balanced,0.215,0.491,3.13,0.421,0.68,1.0,28.1,0.17,0.0,0.667,0.61,3.13,0.094,-5.86,0.51,25.36,0.152,37.3,Orthodox,3
Chris Barnett,Heavyweight,1452.8,1452.8,34.7,striker,0.132,0.762,3.56,0.364,0.48,0.353,23.8,0.12,0.333,0.333,0.604,7.45,0.08,-10.31,0.35,46.05,0.384,40.0,Orthodox,6
Don'Tale Mayes,Heavyweight,1450.4,1450.4,35.6,balanced,0.429,0.557,3.07,0.476,0.82,0.312,39.7,0.07,0.167,0.25,0.572,2.14,0.132,-1.25,0.27,30.81,0.207,34.4,Orthodox,12
Chase Sherman,Heavyweight,1448.2,1448.2,38.5,striker,0.277,0.929,5.58,0.523,0.32,0.742,18.2,0.06,0.2,0.333,0.568,2.47,0.061,-3.99,0.31,60.96,0.254,36.6,Orthodox,15
Robelis Despaigne,Heavyweight,1447.7,1447.7,35.9,balanced,0.218,0.628,3.11,0.465,0.68,0.5,28.9,0.17,0.333,0.0,0.641,3.5,0.096,3.02,0.48,28.06,0.152,37.8,Orthodox,3
Gian Villante,Heavyweight,1443.1,1443.1,35.9,striker,0.2,0.854,4.45,0.529,0.52,0.854,21.2,0.05,0.222,0.278,0.649,3.77,0.071,-14.82,0.31,49.86,0.422,40.8,Orthodox,18
Jeff Hughes,Heavyweight,1432.1,1432.1,32.2,striker,0.176,0.697,3.46,0.61,0.6,0.4,32.7,0.15,0.0,0.25,0.596,3.3,0.109,-1.56,0.26,34.57,0.508,38.1,Orthodox,4
Yorgan De Castro,Heavyweight,1429.7,1429.7,32.3,balanced,0.245,0.554,3.04,0.537,0.6,1.0,37.5,0.15,0.25,0.25,0.539,2.74,0.125,-10.0,0.45,28.94,0.321,39.5,Orthodox,4
Josh Parisian,Heavyweight,1422.2,1422.2,31.8,striker,0.354,0.773,4.18,0.418,1.11,0.417,40.9,0.11,0.143,0.429,0.609,4.14,0.136,-1.37,0.19,42.56,0.336,37.0,Orthodox,7
Jared Vanderaa,Heavyweight,1422.0,1422.0,30.0,striker,0.141,0.768,4.52,0.452,0.43,0.2,27.1,0.11,0.0,0.571,0.565,2.78,0.09,-1.98,0.19,45.92,0.209,34.1,Orthodox,7
Roque Martinez,Heavyweight,1409.6,1409.6,30.4,striker,0.46,0.745,3.61,0.563,0.84,0.538,50.7,0.33,0.0,0.333,0.636,3.13,0.169,-1.57,0.46,38.43,0.152,40.3,Orthodox,3
Alan Baudot,Heavyweight,1382.7,1382.7,25.3,striker,0.183,0.861,4.61,0.468,0.6,0.625,34.5,0.15,0.0,0.5,0.689,6.49,0.115,1.06,0.45,35.5,0.133,38.4,Orthodox,4
Carlos Ulberg,Light Heavyweight,1896.0,1896.0,90.0,striker,0.339,1.0,4.89,0.507,0.64,0.857,21.7,0.18,0.636,0.091,0.615,6.49,0.072,17.92,1.07,26.96,0.223,35.6,Orthodox,11
Jon Jones,Light Heavyweight,1860.2,1860.2,90.6,balanced,0.601,0.765,3.93,0.641,1.67,0.95,63.8,0.41,0.5,0.0,0.505,11.09,0.213,12.46,0.67,16.81,0.061,38.9,Orthodox,24
Magomed Ankalaev,Light Heavyweight,1779.1,1779.1,84.1,balanced,0.452,0.738,3.26,0.562,0.8,0.875,69.3,0.06,0.375,0.125,0.569,8.66,0.231,3.68,0.54,14.28,0.142,34.0,Orthodox,16
Jiri Prochazka,Light Heavyweight,1772.6,1772.6,85.5,striker,0.398,1.0,5.04,0.454,0.7,0.684,35.2,0.21,0.667,0.333,0.716,8.76,0.119,1.41,0.71,43.61,0.55,33.7,Orthodox,9
Jiří Procházka,Light Heavyweight,1764.1,1764.1,83.0,striker,0.399,0.904,4.22,0.454,0.64,0.684,37.0,0.18,0.667,0.333,0.63,6.1,0.18,0.0,0.75,29.7,0.27,33.7,Orthodox,9
Daniel Cormier,Light Heavyweight,1751.3,1751.3,82.7,balanced,0.648,0.697,3.85,0.505,1.45,0.765,77.0,0.48,0.467,0.067,0.723,9.69,0.257,-1.36,0.68,27.51,0.353,47.3,Orthodox,15
Azamat Murzakanov,Light Heavyweight,1724.2,1724.2,77.0,striker,0.274,0.891,3.39,0.558,0.78,0.889,33.4,0.22,0.714,0.143,0.679,10.78,0.111,1.39,1.09,21.76,0.274,37.2,Southpaw,7
Navajo Stirling,Light Heavyweight,1719.0,1719.0,78.6,striker,0.425,0.889,4.61,0.594,1.06,0.808,48.5,0.14,0.4,0.0,0.543,8.15,0.163,19.38,0.5,26.36,0.28,28.6,Orthodox,5
Jan Błachowicz,Light Heavyweight,1717.4,1717.4,75.2,balanced,0.467,0.674,3.26,0.522,0.94,0.695,39.5,0.32,0.318,0.091,0.63,6.1,0.18,0.0,0.75,29.7,0.27,43.3,Orthodox,22
Bogdan Guskov,Light Heavyweight,1717.1,1717.1,75.2,striker,0.241,0.878,3.64,0.445,0.46,0.571,43.1,0.47,0.667,0.167,0.777,15.58,0.144,-4.86,1.37,31.95,0.53,33.8,Orthodox,6
Volkan Oezdemir,Light Heavyweight,1684.0,1684.0,70.8,striker,0.282,0.91,4.06,0.554,0.58,0.8,33.3,0.12,0.375,0.188,0.626,5.65,0.111,3.41,0.69,36.19,0.222,36.8,Orthodox,16
Dustin Jacoby,Light Heavyweight,1674.9,1674.9,70.3,striker,0.206,0.941,4.43,0.58,0.41,0.574,26.8,0.05,0.412,0.118,0.666,2.61,0.089,12.82,0.58,35.57,0.464,38.2,Orthodox,17
Johnny Walker,Light Heavyweight,1669.1,1669.1,66.8,balanced,0.345,0.715,2.91,0.489,0.4,0.5,24.5,0.31,0.438,0.25,0.498,9.37,0.082,3.6,0.83,19.16,0.685,34.2,Orthodox,16
Aleksandar Rakić,Light Heavyweight,1663.2,1663.2,66.8,balanced,0.485,0.649,3.57,0.512,0.73,0.857,76.8,0.16,0.182,0.273,0.63,6.1,0.18,0.0,0.75,29.7,0.27,34.4,Orthodox,11
Khalil Rountree Jr.,Light Heavyweight,1658.1,1658.1,64.2,balanced,0.124,0.703,3.28,0.495,0.21,0.588,13.2,0.11,0.389,0.278,0.565,2.89,0.044,-4.09,1.03,31.31,0.257,36.3,Southpaw,18
Zak Cummings,Light Heavyweight,1650.3,1650.3,67.4,grappler,0.602,0.559,3.21,0.563,0.77,0.69,42.5,0.57,0.429,0.071,0.603,3.68,0.143,0.82,1.13,27.13,0.124,41.9,Southpaw,14
Alonzo Menifield,Light Heavyweight,1641.5,1641.5,64.1,balanced,0.454,0.711,3.19,0.509,0.57,0.8,57.2,0.19,0.389,0.222,0.777,5.26,0.191,1.06,0.64,27.49,0.438,38.7,Orthodox,18
Billy Elekana,Light Heavyweight,1635.9,1635.9,63.5,grappler,0.59,0.543,2.76,0.462,0.96,0.0,47.1,0.51,0.5,0.25,0.661,6.69,0.157,-3.97,0.92,26.96,0.4,31.1,Southpaw,4
Nikita Krylov,Light Heavyweight,1632.0,1632.0,65.1,grappler,0.844,0.688,3.4,0.477,1.55,0.532,81.1,0.86,0.476,0.333,0.607,9.63,0.27,9.46,1.34,26.22,0.272,34.3,Orthodox,21
Aleksandar Rakic,Light Heavyweight,1629.2,1629.2,62.4,striker,0.434,0.84,4.02,0.512,0.79,0.857,75.2,0.18,0.182,0.273,0.545,11.02,0.252,5.83,0.54,22.48,0.319,34.4,Orthodox,11
Jamahal Hill,Light Heavyweight,1625.4,1625.4,61.2,striker,0.117,0.918,4.51,0.45,0.31,0.708,23.7,0.07,0.364,0.273,0.659,5.94,0.079,15.04,0.52,27.42,0.439,35.1,Southpaw,11
Ryan Spann,Light Heavyweight,1624.1,1624.1,61.7,grappler,0.707,0.55,2.5,0.436,0.97,0.581,53.2,0.98,0.5,0.312,0.728,7.22,0.177,-6.74,1.62,29.35,0.454,34.8,Orthodox,16
Thiago Santos,Light Heavyweight,1617.9,1617.9,60.5,balanced,0.365,0.724,3.12,0.539,0.8,0.655,35.9,0.08,0.458,0.25,0.528,11.2,0.12,4.22,0.78,18.84,0.196,42.5,Orthodox,24
Philipe Lins,Light Heavyweight,1616.6,1616.6,61.0,balanced,0.534,0.639,3.77,0.465,1.47,1.0,68.6,0.12,0.167,0.167,0.592,3.09,0.231,3.08,0.31,24.23,0.353,40.8,Orthodox,6
Marcos Rogerio de Lima,Light Heavyweight,1609.2,1609.2,60.7,wrestler,0.809,0.67,2.69,0.525,1.14,0.667,86.9,0.39,0.444,0.333,0.591,8.72,0.29,4.83,1.06,20.78,0.162,41.0,Orthodox,18
Corey Anderson,Light Heavyweight,1608.6,1608.6,61.9,balanced,0.788,0.649,3.82,0.592,3.73,0.833,98.9,0.06,0.2,0.267,0.746,13.45,0.33,9.64,0.22,21.16,0.419,36.7,Orthodox,15
Ilir Latifi,Light Heavyweight,1591.1,1591.1,57.0,wrestler,0.74,0.486,2.06,0.563,1.71,1.0,73.6,0.27,0.312,0.188,0.661,5.5,0.245,-10.47,0.64,25.72,0.297,43.9,Orthodox,16
Modestas Bukauskas,Light Heavyweight,1588.6,1588.6,55.2,balanced,0.425,0.563,2.9,0.505,0.43,0.821,34.8,0.14,0.308,0.308,0.7,3.15,0.116,-6.99,0.33,22.49,0.496,32.4,Switch,13
Kennedy Nzechukwu,Light Heavyweight,1585.0,1585.0,56.9,striker,0.402,0.863,3.74,0.512,0.61,0.808,46.4,0.21,0.467,0.267,0.777,6.73,0.155,-1.87,0.52,33.21,0.312,34.0,Southpaw,15
Jimmy Crute,Light Heavyweight,1584.2,1584.2,58.2,grappler,1.0,0.602,2.95,0.397,3.13,0.583,86.5,1.37,0.5,0.333,0.685,9.21,0.288,-5.56,1.95,26.34,0.462,30.3,Orthodox,12
Chris Weidman,Light Heavyweight,1578.0,1578.0,56.1,grappler,0.874,0.548,2.7,0.51,2.49,0.724,76.3,0.62,0.35,0.35,0.716,9.08,0.254,-0.44,0.95,28.15,0.279,42.0,Orthodox,20
Luke Rockhold,Light Heavyweight,1568.1,1568.1,55.1,grappler,0.647,0.626,3.34,0.483,0.91,0.538,51.1,0.67,0.545,0.364,0.598,14.57,0.17,0.58,0.99,22.28,0.613,41.7,Southpaw,11
Alexander Gustafsson,Light Heavyweight,1567.7,1567.7,53.6,balanced,0.469,0.69,3.36,0.514,1.27,0.837,43.7,0.33,0.389,0.333,0.683,7.8,0.146,4.33,0.91,27.23,0.245,39.4,Orthodox,18
Johny Hendricks,Light Heavyweight,1565.1,1565.1,55.8,wrestler,0.894,0.606,3.15,0.534,2.93,0.675,80.5,0.31,0.238,0.143,0.654,4.36,0.268,-5.25,0.65,32.33,0.158,42.8,Southpaw,21
Ed Herman,Light Heavyweight,1551.3,1551.3,52.4,grappler,0.828,0.562,2.88,0.424,1.63,0.613,67.8,0.77,0.346,0.231,0.629,9.21,0.226,-8.25,1.01,31.03,0.403,45.7,Orthodox,26
Oumar Sy,Light Heavyweight,1547.6,1547.6,53.9,wrestler,0.76,0.529,3.19,0.668,1.81,0.667,76.7,0.31,0.4,0.2,0.563,5.52,0.256,8.88,0.5,20.08,0.189,30.6,Orthodox,5
Rodolfo Bellato,Light Heavyweight,1544.4,1544.4,53.7,balanced,0.452,0.762,4.64,0.471,1.42,0.923,42.9,0.14,0.4,0.0,0.605,14.15,0.145,-7.87,0.37,49.16,0.582,30.4,Orthodox,5
Julius Walker,Light Heavyweight,1537.2,1537.2,49.2,grappler,0.856,0.579,3.25,0.431,2.27,1.0,93.9,0.16,0.0,0.333,0.563,7.7,0.313,-7.65,0.57,34.14,0.404,26.9,Orthodox,3
Chris Daukaus,Light Heavyweight,1536.5,1536.5,47.1,balanced,0.182,0.697,3.09,0.555,0.39,1.0,25.8,0.09,0.5,0.5,0.784,8.54,0.086,2.45,1.44,26.63,0.942,36.7,Orthodox,8
Tyson Pedro,Light Heavyweight,1533.8,1533.8,50.0,grappler,0.584,0.629,2.6,0.565,0.77,0.5,39.7,0.54,0.545,0.182,0.519,4.07,0.132,6.94,1.23,21.62,0.345,34.8,Orthodox,11
Walt Harris,Light Heavyweight,1533.8,1533.8,46.2,balanced,0.273,0.633,2.5,0.547,0.41,0.7,20.8,0.14,0.375,0.375,0.668,8.42,0.069,-3.91,1.03,24.02,0.263,43.0,Southpaw,16
Da Woon Jung,Light Heavyweight,1530.1,1530.1,48.3,balanced,0.54,0.583,2.97,0.493,1.35,0.759,57.0,0.18,0.333,0.222,0.648,4.73,0.19,-9.04,0.62,33.64,0.329,32.5,Orthodox,9
Zhang Mingyang,Light Heavyweight,1529.8,1529.8,47.5,striker,0.207,0.906,3.99,0.366,0.52,1.0,42.5,0.12,0.6,0.4,0.62,12.8,0.145,9.08,0.96,32.44,0.513,27.8,Orthodox,5
Rogerio Nogueira,Light Heavyweight,1527.7,1527.7,47.2,balanced,0.38,0.594,3.0,0.547,0.37,0.641,21.4,0.26,0.308,0.231,0.729,5.4,0.072,0.89,0.6,28.77,0.296,50.0,Southpaw,13
Darren Stewart,Light Heavyweight,1525.5,1525.5,47.2,balanced,0.494,0.59,3.21,0.485,1.63,0.675,43.5,0.16,0.214,0.214,0.626,5.34,0.146,-0.98,0.34,32.17,0.205,35.5,Orthodox,14
Iwo Baraniewski,Light Heavyweight,1650.7,1525.4,71.0,striker,0.171,1.0,6.21,0.474,0.68,1.0,29.3,0.18,1.0,0.0,0.683,12.23,0.113,-5.3,1.8,34.73,0.873,27.6,Orthodox,3
Ovince Saint Preux,Light Heavyweight,1523.3,1523.3,45.5,balanced,0.349,0.625,2.63,0.472,0.78,0.684,31.6,0.29,0.393,0.286,0.606,3.63,0.105,-3.61,0.6,26.2,0.307,43.2,Southpaw,28
Nicolae Negumereanu,Light Heavyweight,1523.1,1523.1,46.7,balanced,0.44,0.56,3.19,0.394,1.02,0.625,55.7,0.11,0.333,0.167,0.701,3.63,0.186,-12.78,0.29,45.82,0.309,31.8,Orthodox,6
Misha Cirkunov,Light Heavyweight,1522.3,1522.3,48.2,grappler,0.799,0.485,2.64,0.578,2.33,0.769,54.3,0.91,0.462,0.462,0.641,7.69,0.181,2.55,1.01,20.88,0.583,39.3,Orthodox,13
Jimi Manuwa,Light Heavyweight,1521.3,1521.3,45.0,balanced,0.346,0.674,2.75,0.492,0.6,0.71,42.7,0.27,0.417,0.417,0.465,2.26,0.143,-3.79,0.69,27.68,0.72,46.3,Orthodox,12
Francimar Barroso,Light Heavyweight,1519.4,1519.4,46.5,wrestler,0.614,0.491,2.8,0.59,1.83,0.833,54.6,0.08,0.0,0.111,0.514,3.45,0.182,0.04,0.22,25.91,0.131,46.3,Orthodox,9
Soa Palelei,Light Heavyweight,1518.0,1518.0,46.3,balanced,0.598,0.57,2.16,0.484,1.57,0.818,73.2,0.1,0.571,0.286,0.706,9.8,0.244,-3.6,0.26,24.19,0.282,48.9,Orthodox,7
Klidson Abreu,Light Heavyweight,1514.0,1514.0,43.9,balanced,0.323,0.477,2.52,0.556,0.88,0.8,35.0,0.14,0.0,0.0,0.51,3.5,0.117,-4.12,0.36,21.79,0.663,33.5,Orthodox,4
Andrew Sanchez,Light Heavyweight,1509.1,1509.1,45.2,balanced,0.605,0.63,3.74,0.507,2.02,1.0,76.9,0.08,0.1,0.4,0.7,6.98,0.256,-5.41,0.43,42.42,0.198,38.2,Orthodox,10
Ivan Erslan,Light Heavyweight,1502.3,1502.3,43.3,balanced,0.533,0.552,3.13,0.543,1.06,0.704,69.6,0.16,0.0,0.25,0.715,3.32,0.234,-11.25,0.23,33.33,0.43,34.6,Orthodox,4
Bruno Lopes,Light Heavyweight,1498.0,1498.0,41.5,wrestler,0.684,0.493,3.19,0.484,1.92,1.0,70.3,0.18,0.0,0.667,0.592,3.41,0.237,-9.47,0.26,29.13,0.749,33.2,Orthodox,3
Patrick Cummins,Light Heavyweight,1497.7,1497.7,44.5,balanced,0.75,0.622,3.56,0.559,3.25,0.286,92.2,0.15,0.154,0.462,0.775,17.71,0.307,-4.95,0.25,34.21,0.525,45.6,Orthodox,13
Maxim Grishin,Light Heavyweight,1496.5,1496.5,43.7,striker,0.255,0.781,3.47,0.588,0.65,0.667,36.8,0.14,0.2,0.0,0.501,4.3,0.125,6.92,0.44,22.54,0.249,42.1,Orthodox,5
Mauricio Rua,Light Heavyweight,1494.1,1494.1,43.7,balanced,0.545,0.763,3.41,0.522,1.48,0.477,59.3,0.24,0.333,0.333,0.595,6.56,0.198,0.73,0.84,30.74,0.337,44.6,Orthodox,24
Devin Clark,Light Heavyweight,1493.7,1493.7,41.8,wrestler,0.743,0.54,2.86,0.44,1.84,0.588,78.9,0.11,0.059,0.412,0.571,7.12,0.263,2.05,0.37,26.55,0.312,36.2,Orthodox,17
Junior Tafa,Light Heavyweight,1484.6,1484.6,38.9,striker,0.095,0.829,3.59,0.51,0.37,0.721,16.5,0.1,0.333,0.556,0.734,4.47,0.06,6.1,0.44,23.83,0.33,29.7,Orthodox,9
Gokhan Saki,Light Heavyweight,1481.4,1481.4,40.2,striker,0.201,0.84,3.58,0.532,0.77,1.0,35.7,0.18,0.5,0.5,0.69,4.67,0.119,14.2,1.48,30.95,0.784,42.7,Orthodox,2
Aleksa Camur,Light Heavyweight,1472.1,1472.1,40.3,striker,0.296,0.788,4.09,0.54,0.85,0.5,38.9,0.16,0.0,0.0,0.582,2.55,0.132,1.28,0.23,40.93,0.28,30.7,Orthodox,4
William Knight,Light Heavyweight,1465.3,1465.3,36.4,balanced,0.466,0.534,2.3,0.373,1.33,0.45,43.5,0.4,0.143,0.143,0.56,5.46,0.145,-13.12,0.76,21.02,0.255,38.2,Orthodox,7
Askar Mozharov,Light Heavyweight,1462.8,1462.8,29.5,balanced,0.285,0.401,2.58,0.136,0.93,0.333,41.2,0.22,0.0,1.0,0.6,5.61,0.137,-0.96,0.57,32.94,0.34,31.6,Orthodox,1
Danilo Marques,Light Heavyweight,1459.8,1459.8,38.2,wrestler,0.855,0.485,2.59,0.522,2.56,0.0,98.2,0.55,0.25,0.5,0.665,7.09,0.33,-4.35,0.56,28.01,0.28,40.5,Orthodox,4
Ihor Potieria,Light Heavyweight,1459.6,1459.6,35.1,striker,0.289,0.8,3.48,0.515,0.82,0.667,41.4,0.09,0.125,0.625,0.656,6.34,0.138,6.28,0.67,38.37,0.428,30.1,Southpaw,8
Diyar Nurgozhay,Light Heavyweight,1449.1,1449.1,35.8,balanced,0.497,0.672,4.22,0.589,1.48,0.778,37.1,0.18,0.0,0.667,0.486,4.48,0.127,10.46,0.26,26.56,0.749,29.2,Southpaw,3
Garreth McLellan,Light Heavyweight,1447.8,1447.8,36.0,grappler,0.659,0.55,3.1,0.452,1.07,0.348,62.5,0.54,0.2,0.4,0.638,16.17,0.208,-2.56,0.73,26.19,0.606,43.8,Southpaw,5
Marcin Prachnio,Light Heavyweight,1447.8,1447.8,34.8,striker,0.185,0.844,4.46,0.546,0.4,0.531,21.0,0.07,0.091,0.545,0.384,2.14,0.07,20.78,0.28,27.27,0.48,37.9,Orthodox,11
Brendson Ribeiro,Light Heavyweight,1447.0,1447.0,32.7,balanced,0.4,0.498,2.5,0.513,0.9,0.214,25.8,0.42,0.143,0.571,0.563,2.71,0.086,-1.28,0.74,25.97,0.473,29.8,Orthodox,7
Mike Rodriguez,Light Heavyweight,1446.9,1446.9,34.8,striker,0.172,0.902,4.17,0.414,0.4,0.355,35.8,0.1,0.25,0.375,0.497,4.67,0.121,3.86,0.74,33.76,0.304,37.6,Southpaw,8
Stanislav Nedkov,Light Heavyweight,1445.3,1445.3,35.3,wrestler,0.711,0.547,2.85,0.436,1.65,0.0,64.6,0.14,0.25,0.5,0.696,8.22,0.215,-3.22,0.79,28.62,0.641,44.5,Orthodox,4
Caio Machado,Light Heavyweight,1441.9,1441.9,36.1,striker,0.162,0.777,4.31,0.624,0.68,0.7,27.1,0.18,0.0,0.0,0.528,3.05,0.093,10.03,0.26,31.63,0.463,31.9,Southpaw,3
Justin Ledet,Light Heavyweight,1437.4,1437.4,33.2,balanced,0.384,0.498,2.99,0.49,0.55,0.429,25.1,0.23,0.143,0.286,0.82,2.68,0.084,0.09,0.39,35.52,0.664,37.7,Orthodox,7
Joachim Christensen,Light Heavyweight,1437.0,1437.0,30.9,balanced,0.336,0.591,2.89,0.46,0.58,0.0,61.5,0.14,0.25,0.75,0.678,7.36,0.205,-0.44,0.79,21.12,0.427,47.6,Orthodox,4
Dalcha Lungiambula,Light Heavyweight,1436.6,1436.6,32.7,balanced,0.554,0.541,2.75,0.53,1.55,0.778,61.8,0.1,0.143,0.571,0.644,8.39,0.206,-8.36,0.37,28.48,0.379,38.9,Orthodox,7
