fighter,division,elo,rank_elo,overall_rating,style,grappler_index,striker_index,SLpM,str_def,td_per15,td_def,ctrl_sec_per_round,sub_att_per15,finish_rate,gets_finished_rate,head_share,ground_strike_per15,ground_ctrl_share,distance_strike_diff15,finish_threat15,head_absorbed_per15,kd_absorbed_per15,age,stance,n_fights
Javid Basharat,Bantamweight,1549.0,1549.0,53.2,balanced,0.47,0.723,4.78,0.639,1.58,0.839,47.3,0.15,0.0,0.143,0.591,6.91,0.16,14.35,0.38,26.89,0.194,30.8,Orthodox,7
Rani Yahya,Bantamweight,1548.7,1548.7,52.8,grappler,0.961,0.365,2.2,0.504,2.52,0.31,96.4,1.33,0.333,0.095,0.555,4.82,0.321,1.04,1.25,22.07,0.351,41.8,Orthodox,21
Andre Fili,Bantamweight,1548.5,1548.5,51.4,balanced,0.538,0.658,3.9,0.507,2.22,0.716,42.9,0.25,0.148,0.259,0.716,4.19,0.144,-3.03,0.53,32.1,0.288,36.0,Orthodox,27
Colby Thicknesse,Bantamweight,1548.4,1548.4,52.3,grappler,0.665,0.499,3.52,0.543,1.29,0.333,63.1,1.0,0.0,0.0,0.59,9.07,0.21,-2.27,1.12,30.39,0.193,27.0,Orthodox,3
Timur Valiev,Bantamweight,1545.3,1545.3,52.4,balanced,0.594,0.7,4.46,0.453,1.74,0.556,66.7,0.39,0.0,0.0,0.541,7.06,0.222,12.48,0.63,33.38,0.851,36.4,Orthodox,4
Hunter Azure,Bantamweight,1545.3,1545.3,50.6,balanced,0.547,0.615,3.64,0.606,1.58,0.676,63.5,0.39,0.0,0.25,0.579,5.15,0.211,7.57,0.63,26.83,0.306,34.3,Orthodox,4
Miles Johns,Bantamweight,1544.3,1544.3,49.9,striker,0.351,0.717,3.34,0.671,1.23,0.769,48.1,0.12,0.167,0.25,0.73,1.68,0.16,5.32,0.31,27.69,0.217,32.2,Orthodox,12
Tony Kelley,Bantamweight,1543.3,1543.3,52.2,grappler,0.545,0.632,4.64,0.456,0.88,0.524,46.3,0.94,0.25,0.25,0.542,6.4,0.154,-4.11,1.02,34.8,0.336,39.4,Switch,4
John Yannis,Bantamweight,1541.7,1541.7,50.2,balanced,0.231,0.714,3.7,0.742,0.88,0.667,27.6,0.24,0.333,0.333,0.611,6.62,0.109,6.97,1.0,23.72,0.161,32.0,Southpaw,3
Sergey Morozov,Bantamweight,1540.4,1540.4,50.4,wrestler,0.823,0.511,3.33,0.613,2.79,0.684,83.5,0.22,0.0,0.4,0.672,5.23,0.278,-2.98,0.44,27.46,0.535,37.0,Orthodox,5
Patchy Mix,Bantamweight,1539.1,1539.1,51.4,balanced,0.6,0.652,4.43,0.431,1.86,0.0,55.7,0.28,0.0,0.0,0.662,5.29,0.189,-8.2,0.5,40.22,0.161,32.8,Southpaw,2
Muin Gafurov,Bantamweight,1536.2,1536.2,47.7,striker,0.386,0.737,3.7,0.594,1.19,0.667,58.5,0.22,0.0,0.4,0.607,4.46,0.195,5.61,0.44,24.0,0.279,30.1,Orthodox,5
Ronnie Lawrence,Bantamweight,1532.7,1532.7,52.4,wrestler,0.916,0.642,3.41,0.519,3.38,0.421,76.6,0.25,0.25,0.0,0.635,12.76,0.255,2.09,0.8,25.92,0.469,34.0,Switch,4
Bekzat Almakhan,Bantamweight,1525.3,1525.3,46.0,balanced,0.233,0.561,2.98,0.366,0.88,0.417,28.1,0.24,0.333,0.0,0.652,3.9,0.096,1.63,0.79,37.96,0.138,28.7,Orthodox,3
Cristian Quinonez,Bantamweight,1520.7,1520.7,47.4,balanced,0.709,0.589,3.51,0.526,2.83,0.8,61.3,0.67,0.25,0.5,0.715,4.4,0.207,2.23,0.75,26.41,0.309,30.1,Orthodox,4
Thomas Almeida,Bantamweight,1518.1,1518.1,47.6,striker,0.173,0.877,4.52,0.618,0.62,0.759,18.2,0.14,0.4,0.3,0.605,1.67,0.061,-1.17,0.51,40.64,0.913,34.9,Southpaw,10
Garrett Armfield,Bantamweight,1517.5,1517.5,48.4,balanced,0.571,0.755,4.63,0.562,1.39,0.647,53.3,0.53,0.2,0.4,0.699,6.31,0.178,10.57,0.87,32.28,0.15,29.7,Orthodox,5
Raulian Paiva,Bantamweight,1515.6,1515.6,45.3,striker,0.31,0.727,3.84,0.521,1.01,0.745,39.4,0.3,0.143,0.286,0.596,2.94,0.131,-5.46,0.5,38.82,0.362,30.7,Orthodox,7
Irwin Rivera,Bantamweight,1511.2,1511.2,45.2,striker,0.312,0.696,3.57,0.577,1.43,0.7,36.3,0.28,0.0,0.0,0.633,4.22,0.121,-11.27,0.4,38.68,0.336,37.3,Southpaw,3
Caolan Loughran,Bantamweight,1510.2,1510.2,48.7,wrestler,0.779,0.562,4.23,0.521,2.38,0.875,75.5,0.25,0.0,0.0,0.651,7.06,0.252,-4.36,0.35,38.84,0.169,30.1,Orthodox,4
Gaston Bolanos,Bantamweight,1509.4,1509.4,43.9,balanced,0.486,0.598,3.6,0.507,1.05,0.429,40.4,0.18,0.0,0.4,0.547,8.34,0.139,4.18,0.37,28.29,0.271,33.8,Orthodox,5
ChangHo Lee,Bantamweight,1506.6,1506.6,47.9,wrestler,0.788,0.595,3.71,0.358,2.16,0.5,76.9,0.45,0.333,0.0,0.592,8.88,0.256,-2.95,0.56,27.02,0.193,32.1,Orthodox,3
Jose Quinonez,Bantamweight,1504.3,1504.3,46.8,wrestler,0.814,0.567,3.64,0.64,2.41,0.429,63.1,0.59,0.111,0.333,0.545,6.52,0.21,2.99,0.91,24.38,0.302,35.9,Southpaw,9
Mana Martinez,Bantamweight,1502.3,1502.3,44.9,striker,0.394,0.835,4.08,0.502,1.25,0.273,33.3,0.37,0.0,0.0,0.58,4.19,0.111,-0.86,0.98,36.47,0.669,30.2,Orthodox,4
Guido Cannetti,Bantamweight,1497.6,1497.6,44.4,wrestler,0.78,0.567,3.53,0.514,2.12,0.645,55.2,0.44,0.2,0.5,0.47,4.92,0.184,4.41,0.44,23.1,0.454,46.5,Southpaw,10
Timmy Cuamba,Bantamweight,1497.1,1497.1,43.7,balanced,0.481,0.582,3.26,0.563,1.6,0.667,52.1,0.22,0.2,0.2,0.616,4.07,0.174,-4.65,0.44,32.97,0.407,27.4,Orthodox,5
Cole Smith,Bantamweight,1496.3,1496.3,45.0,grappler,0.885,0.422,2.9,0.497,1.72,0.455,89.0,1.0,0.0,0.0,0.529,3.93,0.296,-0.27,1.12,28.68,0.479,37.2,Orthodox,3
Xiao Long,Bantamweight,1495.4,1495.4,45.3,striker,0.393,0.803,4.36,0.466,1.28,0.88,48.0,0.25,0.25,0.0,0.586,3.44,0.16,6.14,0.48,31.97,0.169,28.2,Orthodox,4
Nathan Fletcher,Bantamweight,1492.1,1492.1,45.5,wrestler,0.786,0.568,3.6,0.575,2.45,0.5,64.1,0.57,0.333,0.333,0.656,4.86,0.213,-0.7,0.62,25.89,0.408,28.5,Orthodox,3
Cody Stamann,Bantamweight,1491.6,1491.6,45.3,wrestler,0.68,0.603,4.19,0.605,2.08,0.763,55.5,0.1,0.067,0.2,0.631,5.82,0.185,-0.88,0.27,31.43,0.071,36.6,Orthodox,15
Benito Lopez,Bantamweight,1490.2,1490.2,39.9,striker,0.232,0.752,3.92,0.543,0.88,0.333,35.3,0.44,0.0,0.5,0.532,3.31,0.118,-4.36,0.73,37.84,0.357,32.2,Switch,4
Brandon Davis,Bantamweight,1488.7,1488.7,42.6,striker,0.368,0.693,3.98,0.582,1.12,0.576,31.7,0.25,0.111,0.222,0.581,3.38,0.105,0.98,0.31,40.39,0.465,36.1,Orthodox,9
Batgerel Danaa,Bantamweight,1488.2,1488.2,44.3,striker,0.354,0.887,4.78,0.474,0.97,0.625,25.4,0.18,0.429,0.286,0.711,6.5,0.084,3.65,0.8,35.3,0.259,37.0,Orthodox,7
Yanis Ghemmouri,Bantamweight,1487.1,1487.1,35.8,balanced,0.306,0.546,3.43,0.356,1.02,0.0,43.7,0.28,0.0,1.0,0.421,4.12,0.149,-3.53,0.5,26.22,0.411,31.4,Orthodox,2
Aoriqileng,Bantamweight,1485.2,1485.2,43.1,striker,0.399,0.878,4.49,0.487,1.3,0.583,36.9,0.12,0.2,0.2,0.644,6.68,0.126,-6.42,0.54,46.53,0.386,33.0,Orthodox,10
Frankie Saenz,Bantamweight,1485.2,1485.2,41.6,balanced,0.512,0.62,3.88,0.522,1.75,0.617,57.5,0.22,0.0,0.3,0.51,5.14,0.191,-3.03,0.43,31.99,0.479,45.9,Orthodox,10
Gustavo Lopez,Bantamweight,1477.7,1477.7,40.9,balanced,0.508,0.508,3.11,0.571,1.75,0.316,37.9,0.59,0.25,0.25,0.626,4.51,0.126,-4.81,0.65,32.97,0.469,37.0,Orthodox,4
Trevin Jones,Bantamweight,1472.6,1472.6,38.0,balanced,0.399,0.516,2.77,0.397,1.07,0.6,51.7,0.32,0.167,0.167,0.578,4.75,0.172,-13.54,0.62,32.41,0.36,35.9,Southpaw,6
Kleydson Rodrigues,Bantamweight,1472.0,1472.0,40.6,balanced,0.433,0.675,3.84,0.52,1.3,0.444,44.2,0.46,0.25,0.25,0.542,3.88,0.147,10.45,0.73,27.34,0.169,30.7,Orthodox,4
Eddie Wineland,Bantamweight,1466.6,1466.6,38.5,striker,0.198,0.787,3.54,0.615,0.59,0.933,18.1,0.1,0.312,0.312,0.711,3.92,0.06,-7.8,0.71,34.26,0.421,42.0,Orthodox,16
Malcolm Wellmaker,Bantamweight,1465.3,1465.3,39.7,striker,0.207,0.877,4.01,0.515,0.88,0.429,34.0,0.25,0.5,0.25,0.511,2.56,0.113,0.03,0.78,32.97,0.169,32.0,Switch,4
Quang Le,Bantamweight,1461.0,1461.0,38.7,wrestler,0.74,0.466,3.28,0.497,2.33,1.0,61.9,0.45,0.25,0.5,0.617,2.73,0.206,-10.28,0.52,33.64,0.669,34.7,Orthodox,4
Cameron Saaiman,Bantamweight,1460.1,1460.1,40.5,striker,0.429,0.883,4.9,0.502,1.11,0.5,55.9,0.5,0.333,0.333,0.593,11.61,0.188,4.97,0.71,35.69,0.374,25.5,Southpaw,6
Brad Katona,Bantamweight,1459.4,1459.4,40.2,balanced,0.584,0.668,4.48,0.503,1.83,0.615,74.7,0.15,0.0,0.111,0.682,7.48,0.249,-5.69,0.22,43.86,0.187,34.5,Orthodox,9
Brian Kelleher,Bantamweight,1456.6,1456.6,38.4,balanced,0.607,0.595,3.39,0.546,1.7,0.6,62.8,0.64,0.294,0.412,0.645,6.14,0.209,-13.44,0.82,36.56,0.292,39.8,Switch,17
Johnny Eduardo,Bantamweight,1454.0,1454.0,35.8,balanced,0.302,0.582,3.21,0.63,0.73,0.588,23.7,0.45,0.25,0.5,0.539,3.08,0.079,5.09,0.74,29.73,0.113,47.9,Orthodox,8
Cody Gibson,Bantamweight,1452.5,1452.5,39.5,wrestler,0.769,0.57,3.66,0.575,2.02,0.696,66.6,0.57,0.2,0.3,0.685,3.02,0.222,2.67,0.79,29.57,0.291,38.8,Orthodox,10
Anderson Dos Santos,Bantamweight,1452.0,1452.0,36.6,balanced,0.432,0.45,3.22,0.497,1.37,0.667,50.1,0.57,0.25,0.25,0.659,3.61,0.167,-16.96,0.65,44.52,0.319,40.9,Orthodox,4
Johnny Munoz,Bantamweight,1448.0,1448.0,38.4,grappler,0.837,0.426,2.96,0.555,2.14,0.455,71.2,1.25,0.167,0.167,0.575,4.09,0.237,2.51,1.24,26.74,0.375,33.3,Orthodox,6
Vince Morales,Bantamweight,1447.8,1447.8,36.8,balanced,0.435,0.559,3.52,0.545,0.94,0.644,29.7,0.45,0.083,0.083,0.66,2.57,0.1,-5.09,0.66,30.47,0.197,35.6,Orthodox,12
Luis Gurule,Bantamweight,1444.7,1444.7,35.8,striker,0.345,0.752,4.44,0.578,1.23,0.75,44.6,0.37,0.0,0.4,0.683,3.11,0.153,-3.34,0.49,40.61,0.306,32.6,Orthodox,5
Vinicius Salvador,Bantamweight,1442.2,1442.2,33.8,striker,0.273,0.734,4.12,0.417,1.2,0.864,33.7,0.28,0.0,0.333,0.594,3.66,0.112,-6.21,0.4,36.82,0.377,29.9,Southpaw,3
Chad Anheliger,Bantamweight,1437.7,1437.7,35.4,balanced,0.475,0.6,3.39,0.541,1.23,0.273,45.6,0.45,0.2,0.2,0.656,5.17,0.152,2.46,0.76,27.97,0.15,39.6,Orthodox,5
Anthony Birchak,Bantamweight,1435.6,1435.6,32.8,striker,0.303,0.762,3.85,0.568,0.99,0.619,37.4,0.49,0.167,0.667,0.568,4.85,0.124,2.11,0.88,31.18,0.735,40.1,Orthodox,6
Khalid Taha,Bantamweight,1434.4,1434.4,32.6,balanced,0.24,0.526,3.08,0.466,0.7,0.619,29.6,0.34,0.167,0.167,0.659,4.62,0.099,-7.3,0.67,37.99,0.135,34.3,Orthodox,6
Toshiomi Kazama,Bantamweight,1432.9,1432.9,31.5,grappler,0.717,0.436,2.53,0.36,1.82,0.0,54.7,1.19,0.25,0.75,0.641,3.16,0.182,-12.31,0.95,47.97,1.369,29.1,Orthodox,4
Dan Argueta,Bantamweight,1427.8,1427.8,35.5,grappler,0.996,0.458,2.98,0.508,3.32,0.556,93.3,1.07,0.0,0.167,0.659,5.77,0.311,-12.25,1.12,34.66,0.135,32.9,Southpaw,6
Kevin Natividad,Bantamweight,1427.7,1427.7,32.1,wrestler,0.754,0.478,3.28,0.477,2.57,0.833,50.7,0.28,0.0,0.667,0.669,5.32,0.169,-4.37,0.59,39.21,0.561,33.2,Orthodox,3
