date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2022-09-18,Chicago Cubs,Colorado Rockies,-125,105,0.53247,0.46753,0.04336,6
2022-09-18,Cleveland Guardians,Minnesota Twins,-110,-110,0.5,0.5,0.04762,6
2022-09-18,Detroit Tigers,Chicago White Sox,135,-158,0.40968,0.59032,0.03868,6
2022-09-18,Houston Astros,Athletics,-350,278,0.74594,0.25406,0.04268,6
2022-09-18,Los Angeles Angels,Seattle Mariners,-120,-104,0.51631,0.48369,0.05646,6
2022-09-18,Milwaukee Brewers,New York Yankees,148,-181,0.38452,0.61548,0.04654,6
2022-09-18,New York Mets,Pittsburgh Pirates,-468,365,0.79302,0.20698,0.039,6
2022-09-18,San Francisco Giants,Los Angeles Dodgers,240,-310,0.28005,0.71995,0.05022,6
2022-09-18,St. Louis Cardinals,Cincinnati Reds,-255,208,0.68836,0.31164,0.04351,6
2022-09-18,Tampa Bay Rays,Texas Rangers,-200,170,0.64286,0.35714,0.03704,6
2022-09-18,Toronto Blue Jays,Baltimore Orioles,-200,170,0.64286,0.35714,0.03704,6
2022-09-18,Washington Nationals,Miami Marlins,155,-182,0.37774,0.62226,0.03817,6
2022-09-19,Atlanta Braves,Washington Nationals,-370,290,0.75431,0.24569,0.04364,6
2022-09-19,Baltimore Orioles,Detroit Tigers,-212,180,0.65565,0.34435,0.03714,6
2022-09-19,Cleveland Guardians,Minnesota Twins,-120,103,0.52592,0.47408,0.0391,6
2022-09-19,Los Angeles Angels,Seattle Mariners,116,-140,0.44154,0.55846,0.04609,6
2022-09-19,Miami Marlins,Chicago Cubs,-155,129,0.58193,0.41807,0.04452,6
2022-09-19,Milwaukee Brewers,New York Mets,-123,100,0.52452,0.47548,0.05157,6
2022-09-19,Tampa Bay Rays,Houston Astros,-125,105,0.53247,0.46753,0.04336,6
2022-09-20,Atlanta Braves,Washington Nationals,-348,270,0.74181,0.25819,0.04681,6
2022-09-20,Baltimore Orioles,Detroit Tigers,-203,162,0.63706,0.36294,0.05165,6
2022-09-20,Cincinnati Reds,Boston Red Sox,105,-130,0.46324,0.53676,0.05302,6
2022-09-20,Colorado Rockies,San Francisco Giants,105,-125,0.46753,0.53247,0.04336,6
2022-09-20,Los Angeles Dodgers,Arizona Diamondbacks,-312,238,0.71869,0.28131,0.05328,6
2022-09-20,Miami Marlins,Chicago Cubs,-178,149,0.6143,0.3857,0.04125,6
2022-09-20,Milwaukee Brewers,New York Mets,105,-124,0.46798,0.53202,0.04237,6
2022-09-20,New York Yankees,Pittsburgh Pirates,-330,260,0.73424,0.26576,0.04522,6
2022-09-20,Tampa Bay Rays,Houston Astros,-147,124,0.57084,0.42916,0.04257,6
2022-09-21,Athletics,Seattle Mariners,179,-226,0.34081,0.65919,0.05167,6
2022-09-21,Atlanta Braves,Washington Nationals,-275,215,0.69789,0.30211,0.05079,6
2022-09-21,Baltimore Orioles,Detroit Tigers,-152,130,0.58112,0.41888,0.03796,6
2022-09-21,Chicago White Sox,Cleveland Guardians,-178,151,0.6162,0.3838,0.03805,6
2022-09-21,Cincinnati Reds,Boston Red Sox,135,-168,0.40461,0.59539,0.0517,6
2022-09-21,Colorado Rockies,San Francisco Giants,-125,102,0.5288,0.4712,0.05061,6
2022-09-21,Miami Marlins,Chicago Cubs,-115,-105,0.51083,0.48917,0.04708,6
2022-09-21,Milwaukee Brewers,New York Mets,114,-135,0.44798,0.55202,0.04067,6
2022-09-21,New York Yankees,Pittsburgh Pirates,-286,232,0.71128,0.28872,0.04168,6
2022-09-21,Philadelphia Phillies,Toronto Blue Jays,-116,-105,0.51134,0.48866,0.04816,6
2022-09-21,San Diego Padres,St. Louis Cardinals,-120,-104,0.51631,0.48369,0.05646,6
2022-09-21,Tampa Bay Rays,Houston Astros,110,-130,0.45726,0.54274,0.04141,6
2022-09-21,Texas Rangers,Los Angeles Angels,104,-128,0.46511,0.53489,0.05136,6
2022-09-22,Athletics,Seattle Mariners,186,-226,0.33488,0.66512,0.04229,6
2022-09-22,Baltimore Orioles,Houston Astros,165,-198,0.36222,0.63778,0.04179,6
