fighter,division,division_code,td_def,td_acc,td_per15,str_def,str_acc,kd_per15,sub_att_per15,pct_distance,SLpM,SApM,dmg_per_round,finish_rate,decision_rate,gets_finished_rate,times_kod,ko_tko_wins,times_submitted,td_att_per_round,age,reach_in,height_in,stance,style,layoff_days,streak,country,hometown,rank,ctrl_sec_per_round,wins,losses,last_fight_date
Gilbert Burns,Middleweight,mw,0.537,0.356,1.8142838196286473,0.525,0.481,0.20679973474801058,0.40538992042440314,0.48,3.003602122015915,3.4104867374005305,14.758,0.32,0.48,0.2,5,3,0,1.6962599469496022,39.7,71.0,70.0,Orthodox,grappler,68,-5.0,,,,61.936737400530504,15.0,10.0,2026-04-18
JJ Aldrich,Women's Flyweight,wflw,0.675,0.256,0.8382380952380953,0.619,0.461,0.026773809523809526,0.0724047619047619,0.8235294117647058,3.8708214285714284,4.0521071428571425,19.21,0.058823529411764705,0.8235294117647058,0.11764705882352941,1,1,1,0.9607857142857144,33.7,67.0,65.0,Southpaw,striker,63,2.0,United States,"Denver, United States",14.0,52.18214285714285,11.0,6.0,2026-04-18
Karine Silva,Women's Flyweight,wflw,0.294,0.545,1.8255833333333333,0.537,0.397,0.1581875,1.015375,0.625,2.7904375,2.755020833333333,10.94,0.375,0.625,0.0,0,0,0,1.2267083333333335,32.5,67.0,65.0,Orthodox,wrestler,63,-2.0,Brazil,"Dourados, Brazil",10.0,66.31875000000001,5.0,3.0,2026-04-18
Dominick Reyes,Middleweight,mw,0.829,0.286,0.4262753036437246,0.496,0.536,0.6682732793522268,0.24954251012145748,0.26666666666666666,4.016024291497976,2.9415323886639673,21.0,0.4666666666666667,0.26666666666666666,0.26666666666666666,4,6,0,0.4337651821862348,36.3,77.0,76.0,Southpaw,striker,75,1.0,United States,,,24.29817813765182,10.0,5.0,2026-04-11
Paulo Costa,Middleweight,mw,0.778,0.429,0.5043269230769231,0.494,0.593,0.4871995192307693,0.09570673076923077,0.5,4.952028846153846,4.796569711538461,27.471,0.4166666666666667,0.5,0.08333333333333333,1,5,0,0.4352211538461539,35.0,72.0,73.0,Orthodox,striker,75,2.0,Brazil,,,23.36033653846154,8.0,4.0,2026-04-11
Kevin Holland,Middleweight,mw,0.578,0.395,0.7887948717948718,0.5,0.503,0.307490675990676,0.5358881118881119,0.41379310344827586,3.637104895104895,2.945548951048951,18.4,0.3793103448275862,0.41379310344827586,0.1724137931034483,2,5,3,0.6756829836829837,33.4,81.0,75.0,Orthodox,balanced,75,1.0,,,,36.614102564102566,16.0,12.0,2026-04-11
Kelvin Gastelum,Middleweight,mw,0.604,0.353,1.0175076923076922,0.573,0.424,0.4044397435897436,0.12211025641025643,0.6153846153846154,3.4568820512820513,3.3325705128205128,17.384,0.19230769230769232,0.6153846153846154,0.15384615384615385,0,3,4,0.9574512820512822,34.5,71.0,69.0,Southpaw,balanced,75,-1.0,,,,40.165512820512824,14.0,11.0,2026-04-11
Mateusz Gamrot,Lightweight,lw,0.833,0.386,4.4630294117647065,0.601,0.516,0.24552941176470586,0.32236764705882354,0.5384615384615384,3.5528676470588234,3.0196617647058823,14.65,0.38461538461538464,0.5384615384615384,0.07692307692307693,0,3,1,3.4961911764705884,35.5,70.0,70.0,Southpaw,wrestler,70,,Poland,"Bielsko, Biala, Poland",8.0,80.77941176470588,,,2026-04-11
Renato Moicano,Lightweight,lw,0.643,0.404,1.7253800000000001,0.597,0.492,0.25092,0.58757,0.2857142857142857,4.18971,3.57877,17.93,0.47619047619047616,0.2857142857142857,0.23809523809523808,3,2,2,1.2516100000000001,37.1,72.0,71.0,Orthodox,grappler,77,,Brazil,"Brasilia, Brazil",10.0,57.21,,,2026-04-04
Israel Adesanya,Middleweight,mw,0.764,0.091,0.24892307692307694,0.558,0.484,0.5370953177257525,0.1756220735785953,0.5263157894736842,3.768802675585284,3.110613712374582,19.309,0.2631578947368421,0.5263157894736842,0.21052631578947367,3,5,1,0.3291103678929766,36.7,80.0,76.0,Switch,striker,89,-4.0,Nigeria,,9.0,15.96371237458194,13.0,6.0,2026-03-28
