fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Loma Lookboonmee,2025-04-05,UFC Fight Night: Emmett vs. Murphy,Istela Nunes,W,DEC,3,Unanimous,,,wsw
Gerald Meerschaert,2025-04-05,UFC Fight Night: Emmett vs. Murphy,Brad Tavares,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Lerone Murphy,2025-04-05,,Josh Emmett,W,Decision - Unanimous,5,Unanimous,,,fw
Ode Osbourne,2025-04-05,UFC Fight Night: Emmett vs. Murphy,Luis Gurule,W,KO/TKO,2,,,,flw
Josh Emmett,2025-04-05,,Lerone Murphy,L,Decision - Unanimous,5,Unanimous,,,fw
Nora Cornolle,2025-04-12,UFC 314: Volkanovski vs. Lopes,Hailey Cowan,W,SUB,2,,,,wbw
Paddy Pimblett,2025-04-12,UFC 314: Volkanovski vs. Lopes,Michael Chandler,W,KO/TKO,3,,,,lw
Hailey Cowan,2025-04-12,UFC 314: Volkanovski vs. Lopes,Nora Cornolle,L,SUB,2,,,,wbw
Michal Oleksiejczuk,2025-04-12,UFC 314: Volkanovski vs. Lopes,Sedriques Dumas,W,KO/TKO,1,,Middleweight Bout,,mw
Jean Silva,2025-04-12,,Bryce Mitchell,W,Submission,2,,,,fw
Alexander Volkanovski,2025-04-12,UFC 314: Volkanovski vs. Lopes,Diego Lopes,W,Decision - Unanimous,5,Unanimous,UFC Featherweight Title Bout,,ww
Nikita Krylov,2025-04-12,,Dominick Reyes,L,KO/TKO,1,,,,lhw
Yair Rodriguez,2025-04-12,,Patricio Freire,W,Decision - Unanimous,3,Unanimous,,,fw
Sumudaerji,2025-04-12,UFC 314: Volkanovski vs. Lopes,Mitch Raposo,W,Decision - Split,3,Split,,,flw
Virna Jandiroba,2025-04-12,UFC 314: Volkanovski vs. Lopes,Yan Xiaonan,W,DEC,3,Unanimous,,,wsw
Dominick Reyes,2025-04-12,UFC 314: Volkanovski vs. Lopes,Nikita Krylov,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Yan Xiaonan,2025-04-12,UFC 314: Volkanovski vs. Lopes,Virna Jandiroba,L,DEC,3,Unanimous,,,wsw
Diego Lopes,2025-04-12,,Alexander Volkanovski,L,Decision - Unanimous,5,Unanimous,,,fw
Marco Tulio,2025-04-12,UFC 314: Volkanovski vs. Lopes,Tresean Gore,W,KO/TKO,2,,Middleweight Bout,,mw
Ikram Aliskerov,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Andre Muniz,W,KO/TKO,1,,Middleweight Bout,,mw
Jimmy Flick,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Matt Schnell,L,Decision - Unanimous,3,Unanimous,,,flw
Chelsea Chandler,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Joselyne Edwards,L,KO/TKO,1,,,,wbw
Anthony Smith,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Zhang Mingyang,L,KO/TKO,1,,Light Heavyweight Bout,,mw
Matt Schnell,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Jimmy Flick,W,Decision - Unanimous,3,Unanimous,,,flw
Jaqueline Amorim,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Polyana Viana,W,SUB,2,,,,wsw
Zhang Mingyang,2025-04-26,,Anthony Smith,W,KO/TKO,1,,,,lhw
Nicolas Dalby,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Randy Brown,L,KO/TKO,2,,Welterweight Bout,,ww
David Onama,2025-04-26,,Giga Chikadze,W,Decision - Unanimous,3,Unanimous,,,fw
Andre Muniz,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Ikram Aliskerov,L,KO/TKO,1,,Middleweight Bout,,mw
Abus Magomedov,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Michel Pereira,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Ian Machado Garry,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Carlos Prates,W,Decision - Unanimous,5,Unanimous,Welterweight Bout,,ww
Carlos Prates,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Ian Machado Garry,L,Decision - Unanimous,5,Unanimous,Welterweight Bout,,ww
Michel Pereira,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Abus Magomedov,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Randy Brown,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Nicolas Dalby,W,KO/TKO,2,,Welterweight Bout,,ww
Chris Gutierrez,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,John Castaneda,W,Decision,3,Split,,,bw
Joselyne Edwards,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Chelsea Chandler,W,KO/TKO,1,,,,wbw
Cameron Saaiman,2025-04-26,UFC Fight Night: Machado Garry vs. Prates,Malcolm Wellmaker,L,KO/TKO,1,,,,bw
Gaston Bolanos,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Quang Le,L,Submission,2,,,,bw
Miesha Tate,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Yana Santos,L,DEC,3,Unanimous,,,wbw
Cory Sandhagen,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Deiveson Figueiredo,W,KO/TKO,2,,,,bw
Daniel Rodriguez,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Santiago Ponzinibbio,W,KO/TKO,3,,Welterweight Bout,,ww
Reinier de Ridder,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Bo Nickal,W,KO/TKO,2,,Middleweight Bout,,mw
Montel Jackson,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Daniel Marcos,W,Decision,3,Unanimous,,,bw
Deiveson Figueiredo,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Cory Sandhagen,L,KO/TKO,2,,,,flw
Santiago Ponzinibbio,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Daniel Rodriguez,L,KO/TKO,3,,Welterweight Bout,,mw
Marina Rodriguez,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Gillian Robertson,L,KO/TKO,2,,,,wsw
Bo Nickal,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Reinier de Ridder,L,KO/TKO,2,,Middleweight Bout,,mw
Gillian Robertson,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Marina Rodriguez,W,KO/TKO,2,,,,wsw
Yana Santos,2025-05-03,UFC Fight Night: Sandhagen vs. Figueiredo,Miesha Tate,W,DEC,3,Unanimous,,,wbw
Jéssica Andrade,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Jasmine Jasudavicius,L,SUB,1,,,,wsw
Ion Cutelaba,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Modestas Bukauskas,L,Decision - Split,3,Split,Light Heavyweight Bout,,mw
Natalia Silva,2025-05-10,,Alexa Grasso,W,Decision - Unanimous,3,Decision,,,wflw
Charles Radtke,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Mike Malott,L,KO/TKO,2,,Welterweight Bout,,ww
Mike Malott,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Charles Radtke,W,KO/TKO,2,,Welterweight Bout,,ww
Bruno Silva,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Marc-Andre Barriault,L,KO/TKO,1,,Middleweight Bout,,mw
Manon Fiorot,2025-05-10,,Valentina Shevchenko,L,Decision - Unanimous,5,Decision,,,wflw
Aiemann Zahabi,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Jose Aldo,W,Decision,3,Unanimous,,,bw
Jose Aldo,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Aiemann Zahabi,L,Decision,3,Unanimous,,,bw
Valentina Shevchenko,2025-05-10,,Manon Fiorot,W,Decision - Unanimous,5,Decision,,,wflw
Jasmine Jasudavicius,2025-05-10,,Jessica Andrade,W,Submission,1,,,,wflw
Belal Muhammad,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Jack Della Maddalena,L,Decision - Unanimous,5,Unanimous,UFC Welterweight Title Bout,,ww
Marc-Andre Barriault,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Bruno Silva,W,KO/TKO,1,,Middleweight Bout,,mw
Alexa Grasso,2025-05-10,,Natalia Silva,L,Decision - Unanimous,3,Decision,,,wflw
Bekzat Almakhan,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Brad Katona,W,KO/TKO,1,,,,bw
Benoît Saint Denis,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Kyle Prepolec,W,Submission,2,,,,lw
Modestas Bukauskas,2025-05-10,,Ion Cutelaba,W,Decision,3,Split,,,lhw
Jack Della Maddalena,2025-05-10,UFC 315: Muhammad vs. Della Maddalena,Belal Muhammad,W,Decision - Unanimous,5,Unanimous,UFC Welterweight Title Bout,,ww
Gilbert Burns,2025-05-17,UFC Fight Night: Burns vs. Morales,Michael Morales,L,KO/TKO,1,,Welterweight Bout,,mw
Denise Gomes,2025-05-17,UFC Fight Night: Burns vs. Morales,Elise Reed,W,KO/TKO,2,,,,wsw
Gabe Green,2025-05-17,UFC Fight Night: Burns vs. Morales,Matheus Camilo,W,Submission,2,,Lightweight Bout,,ww
Michael Morales,2025-05-17,UFC Fight Night: Burns vs. Morales,Gilbert Burns,W,KO/TKO,1,,Welterweight Bout,,ww
Elise Reed,2025-05-17,UFC Fight Night: Burns vs. Morales,Denise Gomes,L,KO/TKO,2,,,,wsw
Carlos Hernandez,2025-05-17,UFC Fight Night: Burns vs. Morales,HyunSung Park,L,Submission,1,,,,flw
HyunSung Park,2025-05-17,UFC Fight Night: Burns vs. Morales,Carlos Hernandez,W,Submission,1,,,,flw
Melquizael Costa,2025-05-17,,Julian Erosa,W,Decision - Unanimous,3,Unanimous,,,fw
Thiago Moises,2025-05-17,UFC Fight Night: Burns vs. Morales,Jared Gordon,L,KO/TKO,1,,Lightweight Bout,,ww
Luana Pinheiro,2025-05-17,UFC Fight Night: Burns vs. Morales,Tecia Pennington,L,DEC,3,Unanimous,,,wsw
Tecia Pennington,2025-05-17,UFC Fight Night: Burns vs. Morales,Luana Pinheiro,W,DEC,3,Unanimous,,,wsw
Tainara Lisboa,2025-05-17,UFC Fight Night: Burns vs. Morales,Luana Santos,L,SUB,2,,,,wbw
Nursulton Ruziboev,2025-05-17,UFC Fight Night: Burns vs. Morales,Dustin Stoltzfus,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Luana Santos,2025-05-17,UFC Fight Night: Burns vs. Morales,Tainara Lisboa,W,SUB,2,,,,wbw
Macy Chiasson,2025-05-31,UFC Fight Night: Blanchfield vs. Barber,Ketlen Vieira,L,DEC,3,Unanimous,,,wbw
Mateusz Gamrot,2025-05-31,UFC Fight Night: Blanchfield vs. Barber,Ludovit Klein,W,Decision - Unanimous,3,Unanimous,,,lw
Ketlen Vieira,2025-05-31,UFC Fight Night: Blanchfield vs. Barber,Macy Chiasson,W,DEC,3,Unanimous,,,wbw
Allan Nascimento,2025-05-31,UFC Fight Night: Blanchfield vs. Barber,Jafel Filho,W,Decision - Unanimous,3,Unanimous,,,flw
Dusko Todorovic,2025-05-31,UFC Fight Night: Blanchfield vs. Barber,Zach Reese,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Dustin Jacoby,2025-05-31,,Bruno Lopes,W,KO/TKO,1,,,,lhw
Azamat Murzakanov,2025-06-07,,Brendson Ribeiro,W,KO/TKO,1,,,,lhw
Serghei Spivac,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Waldo Cortes Acosta,L,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,hw
Khaos Williams,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Andreas Gustafsson,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Merab Dvalishvili,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Sean O'Malley,W,Submission,3,,,,bw
Bruno Silva,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Joshua Van,L,KO/TKO,3,,Flyweight Bout,,mw
Joshua Van,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Bruno Silva,W,KO/TKO,3,,,,flw
Brendson Ribeiro,2025-06-07,,Azamat Murzakanov,L,KO/TKO,1,,,,lhw
Patchy Mix,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Mario Bautista,L,Decision,3,Unanimous,,,bw
Sean O'Malley,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Merab Dvalishvili,L,Submission,3,,,,bw
Wang Cong,2025-06-07,,Ariane da Silva,W,Decision - Unanimous,3,Decision,,,wflw
Quillan Salkilld,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Yanal Ashmouz,W,Decision - Unanimous,3,Unanimous,,,lw
Waldo Cortes Acosta,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Serghei Spivac,W,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,hw
Kayla Harrison,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Julianna Pena,W,SUB,2,,,,wbw
Mario Bautista,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Patchy Mix,W,Decision,3,Unanimous,,,bw
Julianna Peña,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Kayla Harrison,L,SUB,2,,,,wbw
Joe Pyfer,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Kelvin Gastelum,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Kelvin Gastelum,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Joe Pyfer,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Vicente Luque,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Kevin Holland,L,Submission,2,,Welterweight Bout,,ww
Kevin Holland,2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Vicente Luque,W,Submission,2,,Welterweight Bout,,mw
Jose Ochoa,2025-06-14,UFC Fight Night: Usman vs. Buckley,Cody Durden,W,KO/TKO,2,,,,flw
Court McGee,2025-06-14,UFC Fight Night: Usman vs. Buckley,Michael Chiesa,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Joaquin Buckley,2025-06-14,UFC Fight Night: Usman vs. Buckley,Kamaru Usman,L,Decision - Unanimous,5,Unanimous,Welterweight Bout,,ww
Kamaru Usman,2025-06-14,UFC Fight Night: Usman vs. Buckley,Joaquin Buckley,W,Decision - Unanimous,5,Unanimous,Welterweight Bout,,mw
Raoni Barcelos,2025-06-14,UFC Fight Night: Usman vs. Buckley,Cody Garbrandt,W,Decision,3,Unanimous,,,bw
Ricky Simon,2025-06-14,UFC Fight Night: Usman vs. Buckley,Cameron Smotherman,W,Decision,3,Unanimous,,,bw
Paul Craig,2025-06-14,UFC Fight Night: Usman vs. Buckley,Rodolfo Bellato,NC,Could Not Continue,1,,Light Heavyweight Bout,,mw
Michael Chiesa,2025-06-14,UFC Fight Night: Usman vs. Buckley,Court McGee,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Oumar Sy,2025-06-14,,Alonzo Menifield,L,Decision,3,Unanimous,,,lhw
Cody Durden,2025-06-14,UFC Fight Night: Usman vs. Buckley,Jose Ochoa,L,KO/TKO,2,,,,flw
Cody Brundage,2025-06-14,UFC Fight Night: Usman vs. Buckley,Mansur Abdul-Malik,D,Overturned,3,,Middleweight Bout,,mw
Rose Namajunas,2025-06-14,,Miranda Maverick,W,Decision - Unanimous,3,Decision,,,wflw
Ange Loosa,2025-06-14,UFC Fight Night: Usman vs. Buckley,Phil Rowe,L,KO/TKO,3,,Welterweight Bout,,ww
Edmen Shahbazyan,2025-06-14,UFC Fight Night: Usman vs. Buckley,Andre Petroski,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Miranda Maverick,2025-06-14,,Rose Namajunas,L,Decision - Unanimous,3,Decision,,,wflw
Cody Garbrandt,2025-06-14,UFC Fight Night: Usman vs. Buckley,Raoni Barcelos,L,Decision,3,Unanimous,,,bw
Alonzo Menifield,2025-06-14,,Oumar Sy,W,Decision,3,Unanimous,,,lhw
Khalil Rountree Jr.,2025-06-21,,Jamahal Hill,W,Decision,5,Unanimous,,,lhw
Jamahal Hill,2025-06-21,,Khalil Rountree Jr.,L,Decision,5,Unanimous,,,lhw
Myktybek Orolbai,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Tofiq Musayev,W,Submission,1,,Catch Weight Bout,,ww
Tagir Ulanbekov,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Azat Maksum,W,Decision - Unanimous,3,Unanimous,,,flw
Curtis Blaydes,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Rizvan Kuniev,W,Decision - Split,3,Split,Heavyweight Bout,,hw
JunYong Park,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Ismail Naurdiev,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Rizvan Kuniev,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Curtis Blaydes,L,Decision - Split,3,Split,Heavyweight Bout,,hw
Ismail Naurdiev,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,JunYong Park,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Daria Zhelezniakova,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Melissa Mullins,W,DEC,3,Unanimous,,,wbw
Irina Alekseeva,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Klaudia Sygula,L,DEC,3,Unanimous,,,wbw
Rafael Fiziev,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Ignacio Bahamondes,W,Decision - Unanimous,3,Unanimous,,,lw
Melissa Mullins,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Daria Zhelezniakova,L,DEC,3,Unanimous,,,wbw
Azat Maksum,2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,Tagir Ulanbekov,L,Decision - Unanimous,3,Unanimous,,,flw
Payton Talbott,2025-06-28,UFC 317: Topuria vs. Oliveira,Felipe Lima,W,Decision,3,Unanimous,,,bw
Ilia Topuria,2025-06-28,UFC 317: Topuria vs. Oliveira,Charles Oliveira,W,KO/TKO,1,,,,lw
Gregory Rodrigues,2025-06-28,UFC 317: Topuria vs. Oliveira,Jack Hermansson,W,KO/TKO,1,,Middleweight Bout,,mw
Felipe Lima,2025-06-28,UFC 317: Topuria vs. Oliveira,Payton Talbott,L,Decision,3,Unanimous,,,bw
Jack Hermansson,2025-06-28,UFC 317: Topuria vs. Oliveira,Gregory Rodrigues,L,KO/TKO,1,,Middleweight Bout,,mw
Tracy Cortez,2025-06-28,,Viviane Araujo,W,Decision - Unanimous,3,Decision,,,wflw
Joshua Van,2025-06-28,UFC 317: Topuria vs. Oliveira,Brandon Royval,W,Decision - Unanimous,3,Unanimous,,,flw
Beneil Dariush,2025-06-28,UFC 317: Topuria vs. Oliveira,Renato Moicano,W,Decision - Unanimous,3,Unanimous,,,lw
Kai Kara-France,2025-06-28,UFC 317: Topuria vs. Oliveira,Alexandre Pantoja,L,Submission,3,,,,flw
Renato Moicano,2025-06-28,UFC 317: Topuria vs. Oliveira,Beneil Dariush,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Brandon Royval,2025-06-28,UFC 317: Topuria vs. Oliveira,Joshua Van,L,Decision - Unanimous,3,Unanimous,,,flw
Alexandre Pantoja,2025-06-28,UFC 317: Topuria vs. Oliveira,Kai Kara-France,W,Submission,3,,,,flw
Charles Oliveira,2025-06-28,UFC 317: Topuria vs. Oliveira,Ilia Topuria,L,KO/TKO,1,,UFC Lightweight Title Bout,,ww
Stephen Thompson,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Gabriel Bonfim,L,Decision - Split,3,Split,Welterweight Bout,,mw
Chidi Njokuani,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Jake Matthews,L,Submission,1,,Welterweight Bout,,mw
Max Griffin,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Chris Curtis,L,Decision - Split,3,Split,Welterweight Bout,,ww
Steve Garcia,2025-07-12,,Calvin Kattar,W,Decision - Unanimous,3,Unanimous,,,fw
Kennedy Nzechukwu,2025-07-12,,Valter Walker,L,Submission,1,,,,lhw
Jake Matthews,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Chidi Njokuani,W,Submission,1,,Welterweight Bout,,ww
Derrick Lewis,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Tallison Teixeira,W,KO/TKO,1,,Heavyweight Bout,,hw
Lauren Murphy,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Eduarda Moura,L,DEC,3,Unanimous,,,wbw
Fatima Kline,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Melissa Martinez,W,KO/TKO,3,,,,wsw
Gabriel Bonfim,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Stephen Thompson,W,Decision - Split,3,Split,Welterweight Bout,,ww
Melissa Martinez,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Fatima Kline,L,KO/TKO,3,,,,wsw
Valter Walker,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Kennedy Nzechukwu,W,Submission,1,,Heavyweight Bout,,hw
Eduarda Moura,2025-07-12,,Lauren Murphy,W,Decision - Unanimous,3,Decision,,,wflw
Chris Curtis,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Max Griffin,W,Decision - Split,3,Split,Welterweight Bout,,mw
Jimmy Crute,2025-07-19,,Marcin Prachnio,W,Submission,1,,,,lhw
Dustin Poirier,2025-07-19,UFC 318: Holloway vs. Poirier 3,Max Holloway,L,Decision - Unanimous,5,Unanimous,Lightweight Bout,,ww
Adam Fugitt,2025-07-19,UFC 318: Holloway vs. Poirier 3,Islam Dulatov,L,KO/TKO,1,,Welterweight Bout,,ww
Daniel Rodriguez,2025-07-19,UFC 318: Holloway vs. Poirier 3,Kevin Holland,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Marvin Vettori,2025-07-19,UFC 318: Holloway vs. Poirier 3,Brendan Allen,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Brunno Ferreira,2025-07-19,UFC 318: Holloway vs. Poirier 3,Jackson McVey,W,Submission,1,,Middleweight Bout,,mw
Kyler Phillips,2025-07-19,UFC 318: Holloway vs. Poirier 3,Vinicius Oliveira,L,Decision,3,Unanimous,,,bw
Max Holloway,2025-07-19,UFC 318: Holloway vs. Poirier 3,Dustin Poirier,W,Decision - Unanimous,5,Unanimous,,,lw
Roman Kopylov,2025-07-19,UFC 318: Holloway vs. Poirier 3,Paulo Costa,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Ryan Spann,2025-07-19,,Lukasz Brzeski,W,Submission,1,,,,lhw
Kevin Holland,2025-07-19,UFC 318: Holloway vs. Poirier 3,Daniel Rodriguez,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Paulo Costa,2025-07-19,UFC 318: Holloway vs. Poirier 3,Roman Kopylov,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Marcin Prachnio,2025-07-19,,Jimmy Crute,L,Submission,1,,,,lhw
Vinicius Oliveira,2025-07-19,UFC 318: Holloway vs. Poirier 3,Kyler Phillips,W,Decision,3,Unanimous,,,bw
Brendan Allen,2025-07-19,UFC 318: Holloway vs. Poirier 3,Marvin Vettori,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Muslim Salikhov,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Carlos Leal,W,KO/TKO,1,,Welterweight Bout,,ww
Shara Magomedov,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Marc-Andre Barriault,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Marc-Andre Barriault,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Shara Magomedov,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Marcus McGhee,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Petr Yan,L,Decision,3,Unanimous,,,bw
Robert Whittaker,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Reinier de Ridder,L,Decision - Split,5,Split,Middleweight Bout,,mw
Said Nurmagomedov,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Bryce Mitchell,L,Decision,3,Unanimous,,,bw
Billy Elekana,2025-07-26,,Ibo Aslan,W,Decision,3,Unanimous,,,lhw
Petr Yan,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Marcus McGhee,W,Decision,3,Unanimous,,,bw
Amanda Ribas,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Tabatha Ricci,L,KO/TKO,2,,,,wsw
Tabatha Ricci,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Amanda Ribas,W,KO/TKO,2,,,,wsw
Bogdan Guskov,2025-07-26,,Nikita Krylov,W,KO/TKO,1,,,,lhw
Nikita Krylov,2025-07-26,,Bogdan Guskov,L,KO/TKO,1,,,,lhw
Jose Ochoa,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Asu Almabayev,L,Decision - Unanimous,3,Unanimous,,,flw
Asu Almabayev,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Jose Ochoa,W,Decision - Unanimous,3,Unanimous,,,flw
Reinier de Ridder,2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,Robert Whittaker,W,Decision - Split,5,Split,Middleweight Bout,,mw
Felipe Bunes,2025-08-02,UFC Fight Night: Taira vs. Park,Rafael Estevam,L,Decision - Unanimous,3,Unanimous,,,flw
Tatsuro Taira,2025-08-02,UFC Fight Night: Taira vs. Park,HyunSung Park,W,Submission,2,,,,flw
HyunSung Park,2025-08-02,UFC Fight Night: Taira vs. Park,Tatsuro Taira,L,Submission,2,,,,flw
Neil Magny,2025-08-02,UFC Fight Night: Taira vs. Park,Elizeu Zaleski dos Santos,W,KO/TKO,2,,Welterweight Bout,,ww
Rodolfo Vieira,2025-08-02,UFC Fight Night: Taira vs. Park,Tresean Gore,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
John Yannis,2025-08-02,UFC Fight Night: Taira vs. Park,Austin Bashi,L,Submission,1,,,,bw
Andrey Pulyaev,2025-08-02,UFC Fight Night: Taira vs. Park,Nick Klein,W,KO/TKO,2,,Middleweight Bout,,mw
Elizeu Zaleski dos Santos,2025-08-02,UFC Fight Night: Taira vs. Park,Neil Magny,L,KO/TKO,2,,Welterweight Bout,,mw
Karol Rosa,2025-08-02,UFC Fight Night: Taira vs. Park,Nora Cornolle,W,DEC,3,Unanimous,,,wbw
Kevin Vallejos,2025-08-02,,Danny Silva,W,Decision - Unanimous,3,Unanimous,,,fw
Nora Cornolle,2025-08-02,UFC Fight Night: Taira vs. Park,Karol Rosa,L,DEC,3,Unanimous,,,wbw
Rafael Estevam,2025-08-02,UFC Fight Night: Taira vs. Park,Felipe Bunes,W,Decision - Unanimous,3,Unanimous,,,flw
Eryk Anders,2025-08-09,UFC Fight Night: Dolidze vs. Hernandez,Christian Leroy Duncan,L,KO/TKO,1,,Middleweight Bout,,mw
Gilbert Urbina,2025-08-09,UFC Fight Night: Dolidze vs. Hernandez,Uros Medic,L,KO/TKO,1,,Welterweight Bout,,ww
Andre Fili,2025-08-09,UFC Fight Night: Dolidze vs. Hernandez,Christian Rodriguez,W,Decision,3,Split,,,bw
Joselyne Edwards,2025-08-09,UFC Fight Night: Dolidze vs. Hernandez,Priscila Cachoeira,W,KO/TKO,1,,,,wbw
Julius Walker,2025-08-09,,Rafael Cerquiera,W,Decision,3,Unanimous,,,lhw
