fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Dustin Ortiz,2013-11-09,UFC Fight Night: Belfort vs Henderson 2,Jose Maria,W,KO/TKO,3,,,,flw
Igor Pokrajac,2013-11-09,,Rafael Cavalcante,L,KO/TKO,1,,,,lhw
Santiago Ponzinibbio,2013-11-09,UFC Fight Night: Belfort vs Henderson 2,Ryan LaFlare,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Ed Herman,2013-11-16,,Thales Leites,L,Decision,3,Unanimous,,,lhw
Cody Donovan,2013-11-16,,Gian Villante,L,KO/TKO,2,,,,lhw
Sergio Pettis,2013-11-16,UFC 167: St-Pierre vs Hendricks,Will Campuzano,W,Decision - Unanimous,3,Unanimous,,,flw
Johny Hendricks,2013-11-16,,Georges St-Pierre,L,Decision,5,Split,,,lhw
Tim Elliott,2013-11-16,UFC 167: St-Pierre vs Hendricks,Ali Bagautinov,L,Decision - Unanimous,3,Unanimous,,,flw
Donald Cerrone,2013-11-16,UFC 167: St-Pierre vs Hendricks,Evan Dunham,W,Submission,2,,Lightweight Bout,,ww
Tyron Woodley,2013-11-16,UFC 167: St-Pierre vs Hendricks,Josh Koscheck,W,KO/TKO,1,,Welterweight Bout,,ww
Ali Bagautinov,2013-11-16,UFC 167: St-Pierre vs Hendricks,Tim Elliott,W,Decision - Unanimous,3,Unanimous,,,flw
Ryan Benoit,2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Josh Sampo,L,Submission,2,,,,flw
Julianna Peña,2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Jessica Rakoczy,W,KO/TKO,1,,,,wbw
Drew Dober,2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Sean Spencer,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Raquel Pennington,2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Roxanne Modafferi,W,DEC,3,Unanimous,,,wbw
Nate Diaz,2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Gray Maynard,W,KO/TKO,1,,Lightweight Bout,,ww
Walt Harris,2013-11-30,,Jared Rosholt,L,Decision,3,Unanimous,,,lhw
Krzysztof Jotko,2013-12-06,UFC Fight Night: Hunt vs Bigfoot,Bruno Santos,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Soa Palelei,2013-12-06,,Pat Barry,W,KO/TKO,1,,,,lhw
Alex Garcia,2013-12-06,UFC Fight Night: Hunt vs Bigfoot,Ben Wall,W,KO/TKO,1,,Welterweight Bout,,mw
Clint Hester,2013-12-06,UFC Fight Night: Hunt vs Bigfoot,Dylan Andrews,W,TKO - Doctor's Stoppage,2,,Middleweight Bout,,mw
Zach Makovsky,2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Scott Jorgensen,W,Decision - Unanimous,3,Unanimous,,,flw
Court McGee,2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Ryan LaFlare,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Joseph Benavidez,2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Demetrious Johnson,L,KO/TKO,1,,,,flw
King Green,2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Pat Healy,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Demetrious Johnson,2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Joseph Benavidez,W,KO/TKO,1,,,,flw
Nik Lentz,2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,Chad Mendes,L,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
Miesha Tate,2013-12-28,UFC 168: Weidman vs Silva 2,Ronda Rousey,L,SUB,3,,,,wbw
Uriah Hall,2013-12-28,UFC 168: Weidman vs Silva 2,Chris Leben,W,TKO - Doctor's Stoppage,1,,Middleweight Bout,,mw
Chris Weidman,2013-12-28,,Anderson Silva,W,KO/TKO,2,,,,lhw
Dustin Poirier,2013-12-28,UFC 168: Weidman vs Silva 2,Diego Brandao,W,KO/TKO,1,,Featherweight Bout,,ww
Anderson Silva,2013-12-28,UFC 168: Weidman vs Silva 2,Chris Weidman,L,KO/TKO,2,,UFC Middleweight Title Bout,,mw
Gleison Tibau,2013-12-28,UFC 168: Weidman vs Silva 2,Michael Johnson,L,KO/TKO,2,,Lightweight Bout,,ww
Jon Delos Reyes,2014-01-04,UFC Fight Night: Saffiedine vs Lim,Dustin Kimura,L,Submission,1,,,,flw
Max Holloway,2014-01-04,UFC Fight Night: Saffiedine vs Lim,Will Chope,W,KO/TKO,2,,,,lw
Beneil Dariush,2014-01-15,UFC Fight Night: Rockhold vs Philippou,Charlie Brenneman,W,Submission,1,,,,lw
Louis Smolka,2014-01-15,UFC Fight Night: Rockhold vs Philippou,Alptekin Ozkilic,W,Decision - Unanimous,3,Unanimous,,,flw
Luke Rockhold,2014-01-15,,Constantinos Philippou,W,KO/TKO,1,,,,lhw
Dustin Ortiz,2014-01-15,UFC Fight Night: Rockhold vs Philippou,John Moraga,L,Decision - Split,3,Split,,,flw
Yoel Romero,2014-01-15,UFC Fight Night: Rockhold vs Philippou,Derek Brunson,W,KO/TKO,3,,Middleweight Bout,,mw
Brad Tavares,2014-01-15,UFC Fight Night: Rockhold vs Philippou,Lorenz Larkin,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Derek Brunson,2014-01-15,UFC Fight Night: Rockhold vs Philippou,Yoel Romero,L,KO/TKO,3,,Middleweight Bout,,mw
Nikita Krylov,2014-01-25,,Walt Harris,W,KO/TKO,1,,,,lhw
Donald Cerrone,2014-01-25,UFC on FOX: Henderson vs Thomson,Adriano Martins,W,KO/TKO,1,,Lightweight Bout,,ww
Adriano Martins,2014-01-25,UFC on FOX: Henderson vs Thomson,Donald Cerrone,L,KO/TKO,1,,Lightweight Bout,,ww
Sergio Pettis,2014-01-25,UFC on FOX: Henderson vs Thomson,Alex Caceres,L,Submission,3,,,,flw
Chico Camus,2014-01-25,UFC on FOX: Henderson vs Thomson,Yaotzin Meza,NC,Overturned,3,,,,flw
Walt Harris,2014-01-25,,Nikita Krylov,L,KO/TKO,1,,,,lhw
Mike Rhodes,2014-01-25,UFC on FOX: Henderson vs Thomson,George Sullivan,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Jose Aldo,2014-02-01,UFC 169: Barao vs Faber 2,Ricardo Lamas,W,Decision,5,Unanimous,,,bw
Ali Bagautinov,2014-02-01,UFC 169: Barao vs Faber 2,John Lineker,W,Decision - Unanimous,3,Unanimous,,,flw
Neil Magny,2014-02-01,UFC 169: Barao vs Faber 2,Gasan Umalatov,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Kevin Lee,2014-02-01,UFC 169: Barao vs Faber 2,Al Iaquinta,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Clint Hester,2014-02-01,UFC 169: Barao vs Faber 2,Andy Enz,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Jacare Souza,2014-02-15,UFC Fight Night: Machida vs Mousasi,Francis Carmont,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Albert Tumenov,2014-02-15,UFC Fight Night: Machida vs Mousasi,Ildemar Alcantara,L,Decision - Split,3,Split,Welterweight Bout,,ww
Wilson Reis,2014-02-15,UFC Fight Night: Machida vs Mousasi,Iuri Alcantara,L,Decision - Split,3,Split,,,flw
Charles Oliveira,2014-02-15,UFC Fight Night: Machida vs Mousasi,Andy Ogle,W,Submission,3,,Featherweight Bout,,ww
Daniel Cormier,2014-02-22,,Patrick Cummins,W,KO/TKO,1,,,,lhw
Robert Whittaker,2014-02-22,UFC 170: Rousey vs McMann,Stephen Thompson,L,KO/TKO,1,,Welterweight Bout,,mw
Pedro Munhoz,2014-02-22,UFC 170: Rousey vs McMann,Raphael Assuncao,L,Decision,3,Unanimous,,,bw
Patrick Cummins,2014-02-22,,Daniel Cormier,L,KO/TKO,1,,,,lhw
Aljamain Sterling,2014-02-22,,Cody Gibson,W,Decision - Unanimous,3,Unanimous,,,fw
Zach Makovsky,2014-02-22,UFC 170: Rousey vs McMann,Josh Sampo,W,Decision - Unanimous,3,Unanimous,,,flw
Demian Maia,2014-02-22,UFC 170: Rousey vs McMann,Rory MacDonald,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Stephen Thompson,2014-02-22,UFC 170: Rousey vs McMann,Robert Whittaker,W,KO/TKO,1,,Welterweight Bout,,mw
