hitter,team,ops,avg,hr,rbi,r,sb,pa
Ezequiel Duran,Texas Rangers,0.687,0.253,5,32,28,6,261
Masataka Yoshida,Boston Red Sox,0.687,0.256,3,20,20,2,216
Agustín Ramírez,Miami Marlins,0.687,0.231,7,28,30,7,253
Caleb Durbin,Milwaukee Brewers,0.686,0.237,7,38,36,10,323
Lourdes Gurriel Jr.,Toronto Blue Jays,0.683,0.248,8,39,26,4,285
Jeff McNeil,New York Mets,0.682,0.243,6,32,31,2,343
Sal Frelick,Milwaukee Brewers,0.68,0.258,5,37,43,10,363
Angel Martínez,Cleveland Guardians,0.68,0.233,11,36,36,9,308
Ryan McMahon,Colorado Rockies,0.679,0.219,13,36,36,3,350
Royce Lewis,Minnesota Twins,0.678,0.224,9,32,25,6,256
Anthony Volpe,New York Yankees,0.677,0.23,7,33,36,12,300
J.T. Realmuto,Philadelphia Phillies,0.675,0.236,8,35,34,5,323
Nick Castellanos,Philadelphia Phillies,0.675,0.238,10,41,33,3,302
Masyn Winn,St. Louis Cardinals,0.674,0.251,6,38,47,7,387
Jonah Heim,Texas Rangers,0.672,0.227,8,30,25,1,245
Jakob Marsee,Miami Marlins,0.67,0.219,4,23,37,17,302
Lawrence Butler,Athletics,0.669,0.222,10,35,45,11,342
Cole Young,Seattle Mariners,0.667,0.242,6,33,31,2,309
Josh Smith,Texas Rangers,0.666,0.241,4,18,27,5,269
Salvador Perez,Kansas City Royals,0.665,0.225,17,55,39,0,435
Cam Smith,Houston Astros,0.665,0.227,8,34,38,9,357
Isiah Kiner-Falefa,New York Yankees,0.665,0.267,3,23,29,10,253
Steven Kwan,Cleveland Guardians,0.664,0.249,5,28,51,9,430
TJ Friedl,Cincinnati Reds,0.663,0.23,6,25,35,8,325
Wenceel Pérez,Detroit Tigers,0.662,0.214,9,25,31,5,249
Javier Sanoja,Miami Marlins,0.661,0.246,3,29,21,4,231
Trevor Story,Boston Red Sox,0.661,0.239,9,40,37,11,307
Jake Cronenworth,San Diego Padres,0.661,0.217,5,26,32,2,276
Danny Jansen,Toronto Blue Jays,0.659,0.196,7,20,21,1,210
Logan O'Hoppe,Los Angeles Angels,0.658,0.23,9,30,27,1,285
Marcus Semien,Texas Rangers,0.657,0.226,12,44,48,8,423
Connor Norby,Miami Marlins,0.657,0.222,5,21,24,7,261
Matt McLain,Cincinnati Reds,0.656,0.212,10,32,43,13,368
Carlos Narváez,Boston Red Sox,0.655,0.224,6,16,25,1,229
Jake Meyers,Houston Astros,0.654,0.242,4,19,27,6,233
Brett Baty,New York Mets,0.653,0.231,7,33,34,4,313
Tyler O'Neill,St. Louis Cardinals,0.653,0.202,7,18,23,2,197
Kyle Isbel,Kansas City Royals,0.652,0.245,4,20,27,5,263
Cedric Mullins,Baltimore Orioles,0.651,0.215,10,36,39,17,351
Adolis García,Texas Rangers,0.651,0.214,13,43,37,7,377
Ezequiel Tovar,Colorado Rockies,0.65,0.233,9,33,36,5,356
Zach McKinstry,Detroit Tigers,0.65,0.22,5,23,28,7,287
Coby Mayo,Baltimore Orioles,0.647,0.198,10,29,28,2,240
Oswald Peraza,Los Angeles Angels,0.645,0.23,6,21,23,9,252
Matt Vierling,Philadelphia Phillies,0.645,0.221,6,31,27,3,274
Evan Carter,Texas Rangers,0.644,0.196,6,22,27,11,227
Mitch Garver,Texas Rangers,0.643,0.196,6,20,21,1,193
Nolan Gorman,St. Louis Cardinals,0.641,0.201,10,35,29,1,293
Brenton Doyle,Colorado Rockies,0.641,0.229,7,24,36,13,274
Andrés Giménez,Cleveland Guardians,0.64,0.232,8,37,32,13,341
Lenyn Sosa,Chicago White Sox,0.64,0.241,7,28,24,1,245
Chandler Simpson,Tampa Bay Rays,0.637,0.275,0,19,38,26,340
Edouard Julien,Minnesota Twins,0.633,0.222,3,17,23,3,225
Jacob Young,Washington Nationals,0.63,0.232,6,31,36,12,309
Josh Lowe,Tampa Bay Rays,0.63,0.215,7,24,24,8,243
Austin Wells,New York Yankees,0.629,0.196,9,28,27,1,269
Daniel Schneemann,Cleveland Guardians,0.628,0.208,8,30,31,5,280
Nick Fortes,Miami Marlins,0.619,0.24,2,18,21,0,222
Jared Triolo,Pittsburgh Pirates,0.614,0.225,3,16,23,7,241
Luis Rengifo,Los Angeles Angels,0.607,0.231,3,27,31,7,307
Taylor Walls,Tampa Bay Rays,0.606,0.217,1,23,31,13,250
Freddy Fermin,Kansas City Royals,0.593,0.212,4,17,21,0,216
Joey Ortiz,Milwaukee Brewers,0.587,0.218,3,26,32,8,296
Christian Vázquez,Houston Astros,0.587,0.211,4,19,18,1,203
Edgar Quero,Chicago White Sox,0.582,0.226,3,21,17,1,235
Victor Scott II,St. Louis Cardinals,0.567,0.205,3,17,28,16,260
Patrick Bailey,San Francisco Giants,0.567,0.208,4,26,25,2,263
Ke'Bryan Hayes,Pittsburgh Pirates,0.553,0.209,3,19,24,5,273
